YAL069W	43.49
YAL068W-A	35.29
YAL068C	49.58
YAL067W-A	41.22
YAL067C	36.08
YAL066W	28.80
YAL065C	44.18
YAL064W-B	45.40
YAL064C-A	43.83
YAL064W	36.84
YAL063C-A	28.17
YAL063C	44.64
YAL062W	48.68
YAL061W	48.40
YAL060W	44.99
YAL059C-A	38.53
YAL059W	40.37
YAL058W	43.40
YAL056C-A	41.31
YAL056W	39.50
YAL055W	42.35
YAL054C	45.37
YAL053W	41.87
YAL051W	37.30
YAL049C	41.83
YAL048C	39.91
YAL047W-A	35.45
YAL047C	36.54
YAL046C	48.17
YAL045C	47.24
YAL044W-A	47.14
YAL044C	48.34
YAL043C	46.01
YAL042C-A	47.88
YAL042W	49.59
YAL041W	38.90
YAL040C	41.07
YAL039C	53.08
YAL038W	46.17
YAL037C-B	46.25
YAL037C-A	32.25
YAL037W	39.17
YAL036C	43.69
YAL035W	41.30
YAL034C-B	34.18
YAL034W-A	38.50
YAL034C	42.19
YAL033W	41.57
YAL032C	45.26
YAL031W-A	39.80
YAL031C	40.07
YAL030W	42.37
YAL029C	37.16
YAL028W	42.53
YAL027W	38.42
YAL026C-A	33.33
YAL026C	37.58
YAL025C	42.23
YAL024C	37.07
YAL023C	44.56
YAL022C	45.81
YAL021C	45.66
YAL020C	55.18
YAL019W-A	51.40
YAL019W	40.57
YAL018C	37.83
YAL017W	38.88
YAL016C-B	25.80
YAL016C-A	40.95
YAL016W	38.25
YAL015C	43.41
YAL014C	44.92
YAL013W	51.47
YAL012W	48.69
YAL011W	41.58
YAL010C	36.70
YAL009W	41.41
YAL008W	38.86
YAL007C	37.03
YAL005C	44.06
YAL004W	44.90
YAL003W	44.60
YAL002W	37.17
YAL001C	37.12
YAR002W	39.50
YAR002C-A	39.54
YAR003W	40.04
YAR007C	39.49
YAR008W	39.25
YAR009C	37.20
YAR010C	41.04
YAR014C	41.64
YAR015W	43.32
YAR018C	39.29
YAR019C	40.10
YAR019W-A	44.44
YAR020C	44.04
YAR023C	40.18
YAR027W	37.42
YAR028W	41.41
YAR029W	37.33
YAR030C	36.54
YAR031W	38.79
YAR033W	41.13
YAR035W	58.04
YAR035C-A	44.44
YAR042W	44.01
YAR047C	31.77
YAR050W	45.31
YAR053W	31.98
YAR060C	38.39
YAR061W	42.14
YAR064W	48.00
YAR066W	46.89
YAR068W	47.32
YAR069C	38.77
YAR070C	39.33
YAR071W	42.16
YAR073W	42.65
YAR075W	40.92
YBL113C	46.86
YBL113W-A	44.92
YBL112C	42.76
YBL111C	44.91
YBL109W	46.13
YBL108C-A	48.83
YBL108W	42.15
YBL107W-A	28.57
YBL107C	37.39
YBL106C	38.93
YBL105C	38.85
YBL104C	39.04
YBL103C	39.69
YBL102W	44.75
YBL101C	41.41
YBL100W-C	35.83
YBL100W-A	38.19
