Treatment,Temperature,CHX,Bio_rep,ImageNumber,Parent_Cell,Cell_Parent_Children_stress_granule_Count
46C_noCHX,46C,mock,BioRep1,7,15,7
46C_noCHX,46C,mock,BioRep1,8,1,9
46C_noCHX,46C,mock,BioRep1,8,2,3
46C_noCHX,46C,mock,BioRep1,8,3,6
46C_noCHX,46C,mock,BioRep1,8,4,5
46C_noCHX,46C,mock,BioRep1,8,5,2
46C_noCHX,46C,mock,BioRep1,8,6,9
46C_noCHX,46C,mock,BioRep1,8,7,7
46C_noCHX,46C,mock,BioRep1,8,8,12
46C_noCHX,46C,mock,BioRep1,8,9,5
46C_noCHX,46C,mock,BioRep1,8,10,4
46C_noCHX,46C,mock,BioRep1,8,11,9
46C_noCHX,46C,mock,BioRep1,8,12,2
46C_noCHX,46C,mock,BioRep1,8,13,5
46C_noCHX,46C,mock,BioRep1,8,14,8
46C_noCHX,46C,mock,BioRep1,8,15,6
46C_noCHX,46C,mock,BioRep1,8,16,5
46C_noCHX,46C,mock,BioRep1,8,17,7
46C_noCHX,46C,mock,BioRep1,8,18,7
46C_noCHX,46C,mock,BioRep1,8,19,2
46C_noCHX,46C,mock,BioRep1,8,20,7
46C_noCHX,46C,mock,BioRep1,8,21,5
46C_noCHX,46C,mock,BioRep1,8,22,6
46C_noCHX,46C,mock,BioRep1,8,23,7
46C_noCHX,46C,mock,BioRep1,9,1,4
46C_noCHX,46C,mock,BioRep1,9,2,7
46C_noCHX,46C,mock,BioRep1,9,3,2
46C_noCHX,46C,mock,BioRep1,9,4,4
46C_noCHX,46C,mock,BioRep1,9,5,2
46C_noCHX,46C,mock,BioRep1,9,6,8
46C_noCHX,46C,mock,BioRep1,9,7,2
46C_noCHX,46C,mock,BioRep1,9,8,2
46C_noCHX,46C,mock,BioRep1,9,9,9
46C_noCHX,46C,mock,BioRep1,10,1,6
46C_noCHX,46C,mock,BioRep1,10,2,7
46C_noCHX,46C,mock,BioRep1,10,3,4
46C_noCHX,46C,mock,BioRep1,10,4,4
46C_noCHX,46C,mock,BioRep1,10,5,8
46C_noCHX,46C,mock,BioRep1,10,6,10
46C_noCHX,46C,mock,BioRep1,10,7,7
46C_noCHX,46C,mock,BioRep1,10,8,0
46C_noCHX,46C,mock,BioRep1,11,1,0
46C_noCHX,46C,mock,BioRep1,11,2,8
