Probe	Sample	Biorep	Strain	Reporter_age	Temperature	Time	EDTA.FALSE	EDTA.TRUE	Occupancy_corr	Reporter	Promoter	UTR5	CDS	Hairpin	Desc	Skip	Occ.mean
TUB2	C1	BR1	yJB236	Old	42C	20min	0.3222230703102749	0.8995992161523726	0.5773761458420976	pJB801	TETO	PMU1	PMU1	NA	PMU1	FALSE	0.5685059802189668
TUB2	C2	BR2	yJB236	Old	42C	20min	0.21223040850906644	0.7718662231049024	0.559635814595836	pJB801	TETO	PMU1	PMU1	NA	PMU1	FALSE	0.5685059802189668
TUB2	D1	BR1	yJB236	New	42C	20min	0.22093010178380937	0.8613081234258234	0.6403780216420141	pJB801	TETO	PMU1	PMU1	NA	PMU1	FALSE	0.6103257051400144
TUB2	D2	BR2	yJB236	New	42C	20min	0.30054455747888725	0.880817946116902	0.5802733886380147	pJB801	TETO	PMU1	PMU1	NA	PMU1	FALSE	0.6103257051400144
TUB2	E1	BR1	yJB240	Old	30C	20min	0.09982151560831566	0.9079049270800079	0.8080834114716923	pJB805	TETO	HSP26	TPI1	NA	HSP26	FALSE	0.7457595145944637
TUB2	E2	BR2	yJB240	Old	30C	20min	0.1075411883232865	0.7909768060405216	0.683435617717235	pJB805	TETO	HSP26	TPI1	NA	HSP26	FALSE	0.7457595145944637
TUB2	F1	BR1	yJB240	New	30C	20min	0.10751695635493265	0.8983945798958077	0.7908776235408751	pJB805	TETO	HSP26	TPI1	NA	HSP26	FALSE	0.7466002315242333
TUB2	F2	BR2	yJB240	New	30C	20min	0.13232172751948054	0.834644567027072	0.7023228395075914	pJB805	TETO	HSP26	TPI1	NA	HSP26	FALSE	0.7466002315242333
TUB2	G1	BR1	yJB240	Old	42C	20min	0.303515236531781	0.8729175852404114	0.5694023487086304	pJB805	TETO	HSP26	TPI1	NA	HSP26	FALSE	0.5785881050278041
TUB2	G2	BR2	yJB240	Old	42C	20min	0.28007931855093365	0.8678531798979116	0.5877738613469778	pJB805	TETO	HSP26	TPI1	NA	HSP26	FALSE	0.5785881050278041
TUB2	H1	BR1	yJB240	New	42C	20min	0.3231116883717039	0.8302753850592	0.5071636966874961	pJB805	TETO	HSP26	TPI1	NA	HSP26	FALSE	0.5641289466618358
TUB2	H2	BR2	yJB240	New	42C	20min	0.20426201841920083	0.8253562150553763	0.6210941966361754	pJB805	TETO	HSP26	TPI1	NA	HSP26	FALSE	0.5641289466618358
YONL	A1	BR1	yJB236	Old	30C	20min	0.3248138421272696	0.9160231064915172	0.5912092643642476	pJB801	TETO	PMU1	PMU1	NA	PMU1	FALSE	0.6309740354299855
YONL	A2	BR2	yJB236	Old	30C	20min	0.22116630071514468	0.8919051072108681	0.6707388064957235	pJB801	TETO	PMU1	PMU1	NA	PMU1	FALSE	0.6309740354299855
YONL	B1	BR1	yJB236	New	30C	20min	0.24604927561264917	0.9546679879285427	0.7086187123158936	pJB801	TETO	PMU1	PMU1	NA	PMU1	FALSE	0.7174014812663478
