Sample Clover mCherry GreenRedRatio Clover_corrected mCherry_corrected GreenRedRatio_corrected
BY4742 599.4199829101562 10.710000038146973 55.96825217321539 -8.984375199361239e-08 3.814697180359872e-08 -2.3552001049041773
yHG010 13812.890625 7345.78515625 1.880383149137925 13213.470642 7335.07515625 1.8014090326997119
yHG026_A_1 608.8800048828125 7336.85986328125 0.08298918286964585 9.460021882812498 7326.14986328125 0.0012912678636600432
yHG026_A_2 566.739990234375 6749.5947265625 0.08396652142742946 -32.679992765625 6738.8847265625 -0.0048494660602831
yHG026_B_1 657.9000244140625 7195.080078125 0.09143748467987972 58.4800414140625 7184.370078125 0.008139898248299148
yHG026_B_2 664.780029296875 7493.4296875 0.08871505532450824 65.360046296875 7482.7196875 0.008734798178536606
yHG027_A_1 19356.87890625 7791.77978515625 2.484269247845771 18757.45892325 7781.06978515625 2.4106529617602366
yHG027_A_2 18935.05078125 7969.77001953125 2.375859119503637 18335.63079825 7959.06001953125 2.30374325023998
yHG027_B_1 16138.330078125 7055.5947265625 2.2873096746002624 15538.910095125 7044.8847265625 2.2057011148154158
yHG027_B_2 19634.66015625 7864.19970703125 2.4967143368313724 19035.24017325 7853.48970703125 2.4237938653192224
