Lysate_sample	Dataset	Variable	mean	sd	percent_error
L92	snake_230331	mixing_Pellet	0.22725604586385384	0.00181862497245786	0.8002537250636556
L93	snake_230331	mixing_Sup	0.9542193146532014	0.00191972159870966	0.20118242936712696
L93	snake_230331	mixing_Pellet	0.2865766813545026	0.00245668142089549	0.8572509840242419
L94	snake_230331	mixing_Sup	0.8343365217875429	0.00138489006414873	0.16598698822168798
L94	snake_230331	mixing_Pellet	0.21004289271766216	0.00162193616921337	0.7721928355812365
L95	snake_230331	mixing_Sup	1.0278802476792448	0.00198096838779072	0.19272365552926662
L95	snake_230331	mixing_Pellet	0.24797456792217265	0.00195497107311028	0.7883756344416142
L96	snake_230412	mixing_Sup	0.8599451765459445	0.0024713467588554	0.28738422242006295
L96	snake_230412	mixing_Pellet	0.1301343577965331	0.00230810713637273	1.7736339391488665
L97	snake_230412	mixing_Sup	0.9127388722741676	0.00191797153070869	0.210133652567015
L97	snake_230412	mixing_Pellet	0.19892477277177617	0.00207489806096709	1.0430566450100178
L98	snake_230412	mixing_Sup	0.810859851553254	0.00213382933696162	0.2631563682520639
L98	snake_230412	mixing_Pellet	0.21931330335928623	0.00152307181332465	0.6944730620510986
L99	snake_230412	mixing_Sup	0.8644760558821605	0.00170729151711605	0.19749436731059403
L99	snake_230412	mixing_Pellet	0.1612824778038801	0.00166374031086523	1.031569165801348
L100	snake_230412	mixing_Sup	0.6680281194302528	0.00125258145899781	0.1875043014755293
L100	snake_230412	mixing_Pellet	0.1260931833006073	0.0013876313315183	1.100480846938549
L101	snake_230412	mixing_Sup	1.1930142239297352	0.00195989447439686	0.1642808975018802
L101	snake_230412	mixing_Pellet	0.34123710266861956	0.0015250825263878	0.44692752179086176
L102	snake_230412	mixing_Sup	0.6140533123183167	0.00142628550468546	0.2322738882883989
L102	snake_230412	mixing_Pellet	0.17246793116174114	0.0018869597748342	1.0940931233555538
L103	snake_230428	mixing_Sup	0.7925558876472841	0.00174705389883648	0.22043289641348066
L103	snake_230428	mixing_Pellet	0.18696702312770233	0.00121927909140379	0.6521359066464877
L104	snake_230412	mixing_Sup	0.7886524240399514	0.00239763258019125	0.3040163837840168
L104	snake_230412	mixing_Pellet	0.15109044354353782	0.002777756104709	1.838472400743578
L105	snake_230412	mixing_Sup	0.7500737522151464	0.00119579606397051	0.15942379805173018
L105	snake_230412	mixing_Pellet	0.24264370059385415	9.67857063891615e-4	0.3988799468203172
L103	snake_230412	mixing_Sup	0.7925558876472841	0.00174705389883648	0.22043289641348066
L103	snake_230412	mixing_Pellet	0.18696702312770233	0.00121927909140379	0.6521359066464877
L106	snake_230412	mixing_Sup	0.551689214966557	0.0014187856061534	0.25717116950335994
L106	snake_230412	mixing_Pellet	0.17286718072955626	0.00150749055480754	0.8720513335414132
L107	snake_230412	mixing_Sup	0.5429695591676165	0.00172093473738545	0.31694865915203024
L107	snake_230412	mixing_Pellet	0.2916565844547642	0.00177100318480263	0.6072220821324579
L108	snake_230412	mixing_Sup	1.2607669476511092	0.00303076452135748	0.240390543787969
L108	snake_230412	mixing_Pellet	0.3135782228434189	0.00222519105658108	0.7096127519327768
L109	snake_230412	mixing_Sup	0.5699701663977853	0.00185959975963533	0.326262648339651
L109	snake_230412	mixing_Pellet	0.37527527369019054	0.00172191716934658	0.4588410934763886
L110	snake_230428	mixing_Sup	0.8047691009531427	0.00142729173224064	0.17735419147556752
L110	snake_230428	mixing_Pellet	0.18834138593317373	0.00151111422423724	0.8023272297536376
L111	snake_230428	mixing_Sup	0.2831272473208199	0.00339659665580476	1.199671415572368
L111	snake_230428	mixing_Pellet	0.6756306023834093	0.00226335442548538	0.33499880223024053
L112	snake_230428	mixing_Sup	0.7310116263849464	0.00154853965907794	0.2118351614646534
L112	snake_230428	mixing_Pellet	0.20536927997317364	0.00147219164501541	0.7168509551222633
L113	snake_230428	mixing_Sup	0.4396157987049247	0.00282686530671437	0.643030872648823
L113	snake_230428	mixing_Pellet	0.7047954248108604	0.0021352596850429	0.3029616268601517
