Lysate_sample	Dataset	Variable	Term	Value
L9	snake_170622_170627	phi	sd	4.123973600593709
L9	snake_170622_170627	phi	x2.5	143.3159122852917
L9	snake_170622_170627	phi	x25	148.43900983623757
L9	snake_170622_170627	phi	x50	151.09438883826692
L9	snake_170622_170627	phi	x75	153.94819247402148
L9	snake_170622_170627	phi	x97.5	159.32732599137597
L9	snake_170622_170627	phi	n_eff	979.8547110580478
L9	snake_170622_170627	phi	Rhat	1.003019136289067
L9	snake_170622_170627	lp__	mean	120183290.50323656
L9	snake_170622_170627	lp__	se_mean	0.04452145438703289
L9	snake_170622_170627	lp__	sd	1.1798827834075498
L9	snake_170622_170627	lp__	x2.5	120183287.56699076
L9	snake_170622_170627	lp__	x25	120183289.91127126
L9	snake_170622_170627	lp__	x50	120183290.8109051
L9	snake_170622_170627	lp__	x75	120183291.41004336
L9	snake_170622_170627	lp__	x97.5	120183291.89728647
L9	snake_170622_170627	lp__	n_eff	702.3264783351624
L9	snake_170622_170627	lp__	Rhat	1.0054162121697183
L11	snake_170622_170627	mixing_Sup	mean	0.8589265328828403
L11	snake_170622_170627	mixing_Sup	se_mean	4.324073454503592e-5
L11	snake_170622_170627	mixing_Sup	sd	0.00154965551954472
L11	snake_170622_170627	mixing_Sup	x2.5	0.8557926478074234
L11	snake_170622_170627	mixing_Sup	x25	0.857871429846333
L11	snake_170622_170627	mixing_Sup	x50	0.8589094709418688
L11	snake_170622_170627	mixing_Sup	x75	0.8599990013180046
L11	snake_170622_170627	mixing_Sup	x97.5	0.8619471075927049
L11	snake_170622_170627	mixing_Sup	n_eff	1284.352422584017
L11	snake_170622_170627	mixing_Sup	Rhat	1.002524986031181
L11	snake_170622_170627	mixing_Pellet	mean	0.123258954539226
L11	snake_170622_170627	mixing_Pellet	se_mean	3.364914174027279e-5
L11	snake_170622_170627	mixing_Pellet	sd	0.00111924329791759
L11	snake_170622_170627	mixing_Pellet	x2.5	0.1210531858853994
L11	snake_170622_170627	mixing_Pellet	x25	0.12247682215364078
L11	snake_170622_170627	mixing_Pellet	x50	0.12330146876378406
L11	snake_170622_170627	mixing_Pellet	x75	0.12402482673893364
L11	snake_170622_170627	mixing_Pellet	x97.5	0.12535571398330295
L11	snake_170622_170627	mixing_Pellet	n_eff	1106.371607131114
L11	snake_170622_170627	mixing_Pellet	Rhat	1.0027471996184802
L11	snake_170622_170627	phi	mean	373.10420766938427
L11	snake_170622_170627	phi	se_mean	0.4018810773782572
L11	snake_170622_170627	phi	sd	12.162140587316324
L11	snake_170622_170627	phi	x2.5	349.3961907787199
L11	snake_170622_170627	phi	x25	364.8667055667231
L11	snake_170622_170627	phi	x50	372.7829676537368
L11	snake_170622_170627	phi	x75	381.5711875921378
L11	snake_170622_170627	phi	x97.5	396.915168772849
L11	snake_170622_170627	phi	n_eff	915.8512086107388
L11	snake_170622_170627	phi	Rhat	1.001048052789823
L11	snake_170622_170627	lp__	mean	121223096.9433037
L11	snake_170622_170627	lp__	se_mean	0.04144331598724791
L11	snake_170622_170627	lp__	sd	1.1330045088653824
L11	snake_170622_170627	lp__	x2.5	121223094.16753513
L11	snake_170622_170627	lp__	x25	121223096.35808831
L11	snake_170622_170627	lp__	x50	121223097.21297789
L11	snake_170622_170627	lp__	x75	121223097.80639546
L11	snake_170622_170627	lp__	x97.5	121223098.31350888
L11	snake_170622_170627	lp__	n_eff	747.4020453799699
L11	snake_170622_170627	lp__	Rhat	1.0047552565154223
L12	snake_170622_170627	mixing_Sup	mean	0.6177462132366185
L12	snake_170622_170627	mixing_Sup	se_mean	4.337461191801705e-5
L12	snake_170622_170627	mixing_Sup	sd	0.0015372812051566
L12	snake_170622_170627	mixing_Sup	x2.5	0.6147339059711462
L12	snake_170622_170627	mixing_Sup	x25	0.6166949272033607
L12	snake_170622_170627	mixing_Sup	x50	0.6177608256478886
L12	snake_170622_170627	mixing_Sup	x75	0.6188113285993891
L12	snake_170622_170627	mixing_Sup	x97.5	0.6206803138628452
L12	snake_170622_170627	mixing_Sup	n_eff	1256.1324380118683
L12	snake_170622_170627	mixing_Sup	Rhat	1.001731107650075
L12	snake_170622_170627	mixing_Pellet	mean	0.3308434883184949
L12	snake_170622_170627	mixing_Pellet	se_mean	3.135868932884279e-5
L12	snake_170622_170627	mixing_Pellet	sd	0.00108214652268264
L12	snake_170622_170627	mixing_Pellet	x2.5	0.32876256288041766
L12	snake_170622_170627	mixing_Pellet	x25	0.33010480779141993
L12	snake_170622_170627	mixing_Pellet	x50	0.3308005342006133
L12	snake_170622_170627	mixing_Pellet	x75	0.33157389554064387
L12	snake_170622_170627	mixing_Pellet	x97.5	0.33300176151268096
L12	snake_170622_170627	mixing_Pellet	n_eff	1190.8479992462194
L12	snake_170622_170627	mixing_Pellet	Rhat	1.0008212490961226
L12	snake_170622_170627	phi	mean	643.8678433294757
L12	snake_170622_170627	phi	se_mean	0.8881121879836305
L12	snake_170622_170627	phi	sd	25.4961232244381
L12	snake_170622_170627	phi	x2.5	597.8151698510851
L12	snake_170622_170627	phi	x25	625.6874688592899
L12	snake_170622_170627	phi	x50	643.5150209835308
L12	snake_170622_170627	phi	x75	660.3584988334032
