ORF	FC.vs.mock	padj	Treatment	Treatment_group
YAR008W	0.9110033774223905	0.5940129680924344	EtOH_7.5%	PolySeq_7.5%EtOH
YAR014C	0.7300436648167071	4.27339028693115e-6	EtOH_7.5%	PolySeq_7.5%EtOH
YAR015W	0.6433598973720239	1.4369452166051362e-7	EtOH_7.5%	PolySeq_7.5%EtOH
YAR018C	0.596817239600509	3.2822389907778338e-9	EtOH_7.5%	PolySeq_7.5%EtOH
YAR019C	1.057799053612611	0.5157087970797032	EtOH_7.5%	PolySeq_7.5%EtOH
YAR020C	0.6182078136839436	0.5666988334773587	EtOH_7.5%	PolySeq_7.5%EtOH
YAR027W	2.614724473579898	4.77974336764662e-36	EtOH_7.5%	PolySeq_7.5%EtOH
YAR031W	1.1566881814400098	0.6062223858898644	EtOH_7.5%	PolySeq_7.5%EtOH
YAR033W	0.9694757944682593	0.854188274368402	EtOH_7.5%	PolySeq_7.5%EtOH
YAR035W	1.0701154263782067	0.723946685728919	EtOH_7.5%	PolySeq_7.5%EtOH
YAR042W	1.452283203893494	2.2719068169705768e-10	EtOH_7.5%	PolySeq_7.5%EtOH
YAR050W	2.985402773410602	1.8464696462425483e-47	EtOH_7.5%	PolySeq_7.5%EtOH
YAR071W	0.5816922011406072	0.05771600604333698	EtOH_7.5%	PolySeq_7.5%EtOH
YBL111C	0.20549899483585504	0.6941276272506454	EtOH_7.5%	PolySeq_7.5%EtOH
YBL108C-A	NA	NA	EtOH_7.5%	PolySeq_7.5%EtOH
YBL107C	1.331210588957354	0.0460928349845961	EtOH_7.5%	PolySeq_7.5%EtOH
YBL106C	0.7852006206336134	0.002364325571080163	EtOH_7.5%	PolySeq_7.5%EtOH
YBL105C	0.9816408424764741	0.8094366519192311	EtOH_7.5%	PolySeq_7.5%EtOH
YBL104C	0.7227394398732019	3.4222040503688184e-5	EtOH_7.5%	PolySeq_7.5%EtOH
YBL103C	1.0073445078740573	0.9413840857052542	EtOH_7.5%	PolySeq_7.5%EtOH
YBL102W	0.7649617470738221	0.0019097660104818405	EtOH_7.5%	PolySeq_7.5%EtOH
YBL101C	0.779270732054168	3.942444341844219e-4	EtOH_7.5%	PolySeq_7.5%EtOH
YBL099W	1.0238836215617577	0.7484979494152506	EtOH_7.5%	PolySeq_7.5%EtOH
