ORF	FC.vs.mock	padj	Treatment	Treatment_group
YAL007C	0.6369484062444788	3.376454316201193e-7	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL005C	0.8114511631439745	7.291717490194501e-5	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL003W	0.30038857853023215	2.7061825681481432e-101	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL002W	1.6652112431210326	3.262401883925221e-10	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL001C	1.1770861241494248	0.12971812761779167	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAR002W	1.1718403735400107	0.06620718714408048	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAR002C-A	0.7512185305814431	0.0018754594228972323	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAR003W	1.2051702587138493	0.1740239704250624	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAR007C	0.7059264639208714	2.4014466547596682e-5	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAR008W	0.3874386281858212	6.828812362434931e-4	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAR014C	0.6999208321799169	1.0271692649238692e-4	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAR015W	0.6004234331882939	1.0052477397555995e-7	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAR018C	0.478675420155155	6.475816855776855e-5	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAR019C	0.9133103234281597	0.5056383938134914	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAR020C	3.683965478406853	0.09224022219217559	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAR027W	1.2919687848106032	0.012605902128632482	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAR031W	2.217848143518829	0.0026466509823276753	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAR033W	1.2827593366063503	0.22553480333911788	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAR035W	1.9726820291376435	2.8258965912481617e-4	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAR042W	1.2493335040553983	9.140891793575907e-4	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAR050W	3.2592732625194496	1.314318382748648e-22	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAR071W	0.19588836522326997	3.924798808489221e-27	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL111C	1.049963951500442	0.9848530081305927	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL108C-A	NA	NA	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL107C	0.8759716824237846	0.5734515059409078	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL106C	0.7834213427434128	0.001815670919552227	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL105C	0.9017460477948601	0.18561609503550494	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL104C	0.6095708018916903	9.706154535042982e-6	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL103C	1.6276043347055087	6.42550265686685e-6	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL102W	0.3622142389265779	5.967777987159271e-12	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL101C	1.276518082606794	6.356059323415328e-4	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL099W	0.6685873908584049	2.761141253057037e-10	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL098W	0.7853818349026693	0.11863445536729361	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL097W	0.8320124504663211	0.1657016551945817	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL093C	1.0315713592973221	0.7928991640636306	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL092W	0.5971910565301997	5.218018400595643e-23	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL091C-A	1.6252629897881785	0.0705830797913431	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL091C	0.8529120902568467	0.034301636576607376	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL090W	1.2231384552904756	0.32681959468737304	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL089W	0.6719465326612303	0.010970332524246729	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL088C	1.3178336864020403	1.700270314631085e-4	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL087C	0.6038965997356959	5.600600728402434e-17	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL085W	0.9904135358143759	0.9180311366986306	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL084C	1.4755107290607605	1.1180187067351279e-4	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL082C	0.7850012814426437	0.06450587780559514	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL080C	0.971607038606714	0.8950515124572986	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL079W	0.5460866360058939	2.930710279690794e-19	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL078C	2.3872805812373	1.5403821247646055e-6	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL076C	0.47368468805992076	4.542246729814286e-43	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL075C	1.215057369157791	0.14705619338105805	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL074C	1.4100757723107704	0.04195488578914512	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL072C	0.5346713409598055	4.935681501909464e-32	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL071W-A	1.4042302657940453	0.21948383127124665	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL069W	2.8639059333068593	1.9344155939630653e-17	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL068W	1.0580547145066361	0.6157977949329411	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL067C	0.7651083847648332	0.00223898082584284	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL066C	1.457726170623094	1.018531021154478e-4	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL064C	2.5504814858626474	2.963684135706255e-29	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL063W	0.7766109757551564	0.02696732750924656	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL061C	0.6899007664004034	1.2805073335395297e-4	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL060W	0.9292635434124706	0.6401370832774775	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL059C-A	0.6178758875462904	0.043355235681964255	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL058W	0.6868426153732655	3.2528792194415867e-7	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL057C	0.6619989802457107	0.003416622674484183	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL056W	0.6838258000836476	3.963886067426012e-6	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL055C	0.7552108233932168	0.09757758338462584	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL054W	0.6866827106489382	7.757943850995546e-4	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL052C	0.47085562517166296	2.504534178617478e-13	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL051C	1.1467950189163763	0.03844796173460883	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL050W	1.0105093197853015	0.944828903274409	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL049W	3.1899233741144086	0.0019031879459849113	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL047C	0.46815846542081285	3.927041864477297e-45	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL046W	1.9689598536983681	5.131780239976911e-7	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL045C	0.9789539023389344	0.8244553239675823	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL043W	2.935279145044769	0.005426415793107479	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL042C	0.31183114772254844	4.6181062168444244e-39	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL041W	1.0354692527514047	0.7334291268912061	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL040C	0.806752408834607	0.037401789713652364	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL039C	0.506928417274516	4.780456890069559e-20	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL038W	0.7314888200898383	0.056607730332292196	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL037W	0.7850263669850239	0.010331811614661379	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL036C	0.9526691325920266	0.6993111888855486	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL035C	0.6109725542543231	1.8291029063488253e-6	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL034C	0.8125023174181144	0.026627762902237978	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL033C	1.5563674670656558	5.752188367192542e-5	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL032W	0.6411303079145628	5.2928820576998816e-8	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL031W	1.6048956801373249	0.001340221132223449	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL030C	0.482857124645974	5.86599078101577e-22	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL029C-A	4.61380850650895	1.6789125535968237e-31	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL028C	1.2397938083618645	0.05290670225539667	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL027W	0.6422602950367309	3.1090365905566225e-17	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL026W	1.2324987083928642	0.12110546949699807	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL025W	3.251088610942951	6.809520885245015e-8	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL024W	0.6872817228826069	3.775670121346954e-7	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL023C	0.5368525293572532	4.2559385922699124e-9	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL022C	0.27609693557500836	3.7321408637794325e-84	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL021C	1.0486241775826397	0.8782764829776045	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL020W	0.8675254017989246	0.2228609513740949	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL019W	0.7865989561324103	0.2265124266063319	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL018C	0.4237800751064335	3.631730046089596e-4	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL017C	0.6837826648258452	4.817364551095824e-10	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL016W	1.2401700264044528	0.08061512151013858	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL015W	1.1100361217700936	0.3784850745728744	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL014C	1.5899812013723642	8.741997187951648e-6	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL013W	1.0421603263895298	0.893025917832316	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL011W	0.7632612392333142	4.4743739592156313e-4	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL010C	1.592913925201171	0.014609933218092086	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL009W	1.0874106893108009	0.4906655399968641	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL008W	0.39140024683516617	8.231206217086858e-13	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL007C	0.6640380273558443	1.365219551538021e-12	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL006C	0.937123251939399	0.7527664354614763	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL005W	1.01428596838598	0.9266038945280141	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL004W	0.35964316825582787	1.6262100991566863e-47	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL003C	0.38038744948205827	6.530168363201089e-31	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL002W	0.6728422146100025	3.0225158138128287e-10	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBL001C	0.5805736735369199	5.874384584383607e-7	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR001C	2.0490886611355283	4.889000128960479e-11	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR002C	1.197596397779011	0.23234898338444634	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR003W	1.2226496665207076	0.06144182340956172	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR004C	1.8402031837802297	2.2695134526100925e-9	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR005W	1.067435858922307	0.6932988687575308	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR006W	5.015605387817978	1.4956725420365695e-67	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR007C	1.5482831885841477	2.6571759144033395e-6	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR008C	1.8143283909580767	4.645743952003301e-6	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR009C	0.6125746371892169	2.2366936195946305e-14	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR010W	0.7381592339509228	3.348758148487856e-5	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR011C	0.7810052777901019	1.7769046399989933e-6	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR014C	0.9461093373496529	0.7420184376427396	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR015C	0.6832066176870667	1.065931580194457e-6	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR016W	1.1141382737883223	0.19907655142524153	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR017C	0.8071768133345303	0.0031542675579966156	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR018C	3.0486624078837594	0.0011562341686411997	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR019C	2.0815911521266797	0.21235204347354683	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR020W	NA	NA	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR021W	1.0148023031554112	0.9265893724227828	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR022W	0.5839579495865747	0.022473901092475487	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR023C	0.5066776185266442	1.6543143737212757e-20	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR024W	1.7449578522132367	0.004157804098452774	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR025C	0.7370846638370538	3.0895337534950055e-8	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR026C	0.6797275792803971	1.724454426866387e-4	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR028C	0.8756276644161876	0.3183931177899081	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR029C	0.35078310237222754	2.4374202455759455e-29	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR030W	1.340892353898957	0.021310581818377416	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR031W	1.0417544200972177	0.4784257854349065	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR034C	0.6272084728026793	1.62255013099527e-6	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR035C	1.0796272977532795	0.4343893399655221	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR036C	0.745419467171986	4.164497359343199e-4	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR037C	1.9811780293021866	1.7918981689162127e-5	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR038W	0.48558013231667985	1.2266246567269685e-21	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR039W	0.7569482665763725	6.771339317585281e-4	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR040W	4.069552011501825	0.21319894138845627	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR041W	0.746710476556275	0.0010084605265525438	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR042C	0.9368025467406461	0.6372224714000382	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR043C	1.4850559031437547	1.5836513874884333e-4	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR044C	1.3960976270008316	0.011870233497420503	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR045C	4.756729634780141	2.7808237234707733e-23	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR046C	1.4734660647544937	0.004742817623200517	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR048W	0.6337255417959207	1.0092146937112197e-16	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR049C	0.6792479775049903	9.325704743856418e-6	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR050C	6.538592716976523	4.145861742202079e-12	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YBR052C	1.3174755842945713	0.008630380673622907	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
