ORF	FC.vs.mock	padj	Treatment	Treatment_group
YAR035W	1.0429761269170121	0.8506827166789988	EtOH_7.5%	milderEtOH2
YAR042W	1.245928329038376	8.579546548261582e-5	EtOH_7.5%	milderEtOH2
YAR050W	2.2285829535646804	1.2114919854835831e-26	EtOH_7.5%	milderEtOH2
YAR071W	0.6802145977362489	0.016328495519871356	EtOH_7.5%	milderEtOH2
YBL111C	0.26131795495774496	0.7530196724491932	EtOH_7.5%	milderEtOH2
YBL108C-A	NA	NA	EtOH_7.5%	milderEtOH2
YBL107C	0.9599691465084996	0.8207946420546255	EtOH_7.5%	milderEtOH2
YBL106C	1.0271494866351125	0.760547813363539	EtOH_7.5%	milderEtOH2
YBL105C	0.9416553974461487	0.3654977992945411	EtOH_7.5%	milderEtOH2
YBL104C	0.7402964998884011	9.101326932517936e-5	EtOH_7.5%	milderEtOH2
YBL103C	1.1719555775301838	0.062291878396611745	EtOH_7.5%	milderEtOH2
YBL102W	0.6020534225068617	5.01724737142907e-9	EtOH_7.5%	milderEtOH2
YBL101C	0.6091300116757278	1.3196348821980207e-15	EtOH_7.5%	milderEtOH2
YBL099W	0.857378306673733	0.01248663762468289	EtOH_7.5%	milderEtOH2
YBL098W	0.7432567284258521	0.0031781887826821493	EtOH_7.5%	milderEtOH2
YBL097W	0.6651295444443854	6.49022195900932e-6	EtOH_7.5%	milderEtOH2
YBL093C	1.607500989512018	1.9068595467316407e-7	EtOH_7.5%	milderEtOH2
YBL092W	1.0689490308503748	0.3462055814897183	EtOH_7.5%	milderEtOH2
YBL091C-A	1.5502974018020912	0.04276838597775367	EtOH_7.5%	milderEtOH2
YBL091C	1.2423613860846998	6.542635280591574e-4	EtOH_7.5%	milderEtOH2
YBL090W	1.033392777192523	0.8609416666522057	EtOH_7.5%	milderEtOH2
YBL089W	0.9973189032800472	0.9830945362156848	EtOH_7.5%	milderEtOH2
YBL088C	1.0856644522421537	0.25209761584383555	EtOH_7.5%	milderEtOH2
YBL087C	1.112115710252801	0.11066086695376652	EtOH_7.5%	milderEtOH2
YBL085W	1.7327933586108677	2.892718570592636e-23	EtOH_7.5%	milderEtOH2
YBL084C	1.4671284481910662	1.0029564466603828e-7	EtOH_7.5%	milderEtOH2
YBL082C	0.8539333931022673	0.12511281268427774	EtOH_7.5%	milderEtOH2
YBL080C	0.9063747845559963	0.4790893548891372	EtOH_7.5%	milderEtOH2
YBL079W	0.7970312731149641	1.5891045614860796e-4	EtOH_7.5%	milderEtOH2
YBL078C	2.2073552516162236	5.372601554405331e-12	EtOH_7.5%	milderEtOH2
YBL076C	1.063587541217489	0.30582508936112485	EtOH_7.5%	milderEtOH2
YBL075C	1.646786955034831	7.023510626973337e-9	EtOH_7.5%	milderEtOH2
YBL074C	0.5278293256171014	3.0370342278249976e-7	EtOH_7.5%	milderEtOH2
YBL072C	0.9135758404838424	0.16466469622539123	EtOH_7.5%	milderEtOH2
YBL071W-A	0.6970497848800765	0.07484898109358007	EtOH_7.5%	milderEtOH2
YBL069W	0.9936939951257037	0.9671435699030756	EtOH_7.5%	milderEtOH2
YBL068W	1.0587594821133173	0.6308566551161423	EtOH_7.5%	milderEtOH2
YBL067C	0.6172560824711755	1.1944171868079046e-11	EtOH_7.5%	milderEtOH2
YBL066C	1.1062403727734103	0.15984917377555763	EtOH_7.5%	milderEtOH2
YBL064C	0.8998601917789851	0.31572468741032805	EtOH_7.5%	milderEtOH2
YBL063W	0.6968564480921273	8.53757220225094e-6	EtOH_7.5%	milderEtOH2
YBL061C	0.8331564604580329	0.02399865516853891	EtOH_7.5%	milderEtOH2
YBL060W	0.5255417293754959	4.6490498520040497e-10	EtOH_7.5%	milderEtOH2
YBL059C-A	1.2151644024663621	0.11054421746442733	EtOH_7.5%	milderEtOH2
YBL058W	0.7418476968891496	3.4792457061825603e-7	EtOH_7.5%	milderEtOH2
YBL057C	0.6720656300684607	8.937568850851247e-5	EtOH_7.5%	milderEtOH2
YBL056W	0.8911285706889164	0.0828066501079954	EtOH_7.5%	milderEtOH2
YBL055C	0.79957338153407	0.03655122544810539	EtOH_7.5%	milderEtOH2
YBL054W	0.9519236314783469	0.5862151524681527	EtOH_7.5%	milderEtOH2
YBL052C	0.5451306871995126	1.6655328033965337e-12	EtOH_7.5%	milderEtOH2
YBL051C	1.1854898606659685	0.00310610274064675	EtOH_7.5%	milderEtOH2
YBL050W	0.9675740786546786	0.7755249962419956	EtOH_7.5%	milderEtOH2
YBL049W	1.3176017642727202	0.5524191523894157	EtOH_7.5%	milderEtOH2
YBL047C	0.559943582683688	3.694593969356587e-30	EtOH_7.5%	milderEtOH2
YBL046W	1.3792655196009311	0.0056457734238640235	EtOH_7.5%	milderEtOH2
YBL045C	1.0005598984748634	0.9942545900733182	EtOH_7.5%	milderEtOH2
YBL043W	0.7745225110419699	0.32633987444517254	EtOH_7.5%	milderEtOH2
YBL042C	0.5445602100455498	5.677138612391167e-16	EtOH_7.5%	milderEtOH2
YBL041W	1.1120291518309442	0.13467462515644416	EtOH_7.5%	milderEtOH2
YBL040C	1.3280457214651216	6.875420281672732e-4	EtOH_7.5%	milderEtOH2
YBL039C	1.8476261773565863	9.337554135669005e-25	EtOH_7.5%	milderEtOH2
YBL038W	1.0106948395170683	0.9373799477831525	EtOH_7.5%	milderEtOH2
YBL037W	0.5977779335204431	2.0569761072418172e-13	EtOH_7.5%	milderEtOH2
YBL036C	1.1977974630031567	0.09757654431456511	EtOH_7.5%	milderEtOH2
YBL035C	0.565401354302988	3.053375728029125e-13	EtOH_7.5%	milderEtOH2
YBL034C	0.7653169937831208	1.4023596712037212e-4	EtOH_7.5%	milderEtOH2
YBL033C	1.2166100067741645	0.03578685602577772	EtOH_7.5%	milderEtOH2
YBL032W	0.9070296355856657	0.1760346642160692	EtOH_7.5%	milderEtOH2
YBL031W	0.6882353979819988	2.7055952682037126e-4	EtOH_7.5%	milderEtOH2
YBL030C	0.7362768546121944	5.517943050046776e-7	EtOH_7.5%	milderEtOH2
YBL029C-A	2.9036088010189176	2.8494041359971594e-40	EtOH_7.5%	milderEtOH2
YBL028C	1.8747274029507655	7.411272033446502e-14	EtOH_7.5%	milderEtOH2
YBL027W	0.9957151789801758	0.9565440908103172	EtOH_7.5%	milderEtOH2
YBL026W	1.3463605016229947	0.0013041625232994671	EtOH_7.5%	milderEtOH2
YBL025W	0.964813332590477	0.9019113271647791	EtOH_7.5%	milderEtOH2
YBL024W	1.068953981660601	0.36634190130618965	EtOH_7.5%	milderEtOH2
YBL023C	0.6359418774275766	8.622632884357649e-10	EtOH_7.5%	milderEtOH2
YBL022C	0.5538098864222148	2.9066857637162357e-27	EtOH_7.5%	milderEtOH2
YBL021C	1.1016379102763738	0.6739466010288769	EtOH_7.5%	milderEtOH2
YBL020W	0.8000745747849228	0.005462060011239247	EtOH_7.5%	milderEtOH2
YBL019W	1.0360871584033424	0.8045333800109428	EtOH_7.5%	milderEtOH2
YBL018C	0.794416080031668	0.18214168819908513	EtOH_7.5%	milderEtOH2
YBL017C	0.8886672786162598	0.043331760748559295	EtOH_7.5%	milderEtOH2
YBL016W	0.9499774081980406	0.7153671357639143	EtOH_7.5%	milderEtOH2
