# Run started 2024-04-14 15:46:55 
# Command: sedsim-driver.py --experiment-file ./sed-control-mol.txt --summary-only --summary-out ./results/summary-mol-full.txt
# Parameters:
#	experiment_file: ./sed-control-mol.txt
#	rcf_g: 20000
#	rotor_radius_cm: 10
#	sample_height_mm: 10
#	spin_time_sec: 900
#	viscosity: 1.002
#	number_of_molecules: 1000
#	replicates: 1
#	random_seed: 111
#	out_fname: None
#	summary_only: True
#	summary_out_fname: ./results/summary-mol-full.txt
#
#	experiment.id [string] = experiment identifier
#	spin.rcf.g [float] = rotor centrifugal force in g
#	spin.time.sec [float] = time of centrifuge spin in seconds
#	crosslink.mol.prob [float] = probability of crosslink per molecules
#	crosslink.nt.prob [float] = probability of crosslink per nucleotide
#	translation.prob [float] = fraction of maximal translation rate
#	mol.translation.prob [float] = probability this molecule is translated at maximal translation rate
#	protection.prob [float] = probability this molecule is protected from crosslinking
#	id [string] = molecule ID
#	length [int] = length in nucleotides
#	mass [float] = mass in g/mol
#	radius [float] = radius in nanometers
#	psup [float] = average proportion in the supernatant
#	pfree [float] = average proportion free (not in any cluster)
#	psupclust [float] = average proportion in the supernatant and in a cluster
#	count [float] = average number of molecules
#	reps [int] = number of replicates
#	avg.cluster.count [float] = average number of clusters this molecule is in
#	avg.cluster.size [float] = average number of molecules in average cluster
#	avg.cluster.length [float] = average cluster length in nucleotides
#	avg.cluster.mass [float] = average cluster mass in g/mol
#	avg.cluster.radius [float] = average cluster radius in nanometers
experiment.id	spin.rcf.g	spin.time.sec	crosslink.mol.prob	crosslink.nt.prob	translation.prob	mol.translation.prob	protection.prob	id	length	mass	radius	psup	pfree	psupclust	count	reps	avg.cluster.count	avg.cluster.size	avg.cluster.length	avg.cluster.mass	avg.cluster.radius
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL042W	1371	452430.000000	11.138634	0.876000	0.520000	0.000000	5.000000	100	8.062333	4.350000	6691.450000	2.208178e+06	15.215205
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL043C	2461	812130.000000	13.589927	0.780000	0.250000	0.000000	1.000000	100	8.830000	8.830000	15008.380000	4.952765e+06	20.601394
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL044C	616	203280.000000	8.485875	0.932500	0.727500	0.000000	4.000000	100	4.248333	2.217500	2425.237500	8.003280e+05	10.825654
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL044W-A	476	157080.000000	7.773660	0.915000	0.760000	0.000000	2.000000	100	3.130000	2.530000	2987.965000	9.860280e+05	10.040481
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL046C	503	165990.000000	7.920859	0.925000	0.760000	0.000000	2.000000	100	5.070000	3.105000	3882.530000	1.281234e+06	10.532045
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL049C	926	305580.000000	9.747358	0.915000	0.585000	0.000000	2.000000	100	4.395000	3.085000	4156.710000	1.371714e+06	13.113371
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL053W	2557	843810.000000	13.767898	0.770000	0.240000	0.000000	1.000000	100	7.360000	7.360000	12419.220000	4.098342e+06	20.187256
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL059W	842	277860.000000	9.437246	0.925000	0.695000	0.000000	2.000000	100	3.205000	2.435000	3068.775000	1.012695e+06	11.913764
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL060W	1309	431970.000000	10.964748	0.890000	0.540000	0.000000	1.000000	100	2.940000	2.940000	4362.090000	1.439489e+06	14.169187
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAR002C-A	801	264330.000000	9.278424	0.897500	0.646250	0.000000	8.000000	100	7.397857	3.440000	4762.138750	1.571505e+06	12.590682
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAR002W	1762	581460.000000	12.130569	0.880000	0.440000	0.000000	1.000000	100	3.210000	3.210000	5162.990000	1.703786e+06	15.547150
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAR007C	2002	660660.000000	12.668843	0.830000	0.310000	0.000000	1.000000	100	6.790000	6.790000	11290.930000	3.726006e+06	18.845554
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAR014C	2453	809490.000000	13.574891	0.780000	0.310000	0.000000	1.000000	100	8.060000	8.060000	13842.400000	4.567992e+06	19.413398
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAR015W	1130	372900.000000	10.430037	0.883333	0.633333	0.000000	3.000000	100	5.376667	3.113333	4525.560000	1.493434e+06	13.673670
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAR027W	887	292710.000000	9.605793	0.920000	0.680000	0.000000	1.000000	100	3.080000	3.080000	4288.630000	1.415247e+06	12.330629
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAR042W	3767	1243110.000000	15.706438	0.710000	0.160000	0.000000	1.000000	100	8.540000	8.540000	15904.790000	5.248580e+06	23.085545
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL001C	456	150480.000000	7.661031	0.936000	0.784000	0.000000	5.000000	100	5.641667	2.286000	2485.364000	8.201700e+05	9.891299
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL002W	661	218130.000000	8.691759	0.922593	0.720370	0.000000	27.000000	100	6.013027	2.435556	2962.113704	9.774970e+05	11.185099
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL003C	629	207570.000000	8.546345	0.926000	0.706000	0.000000	15.000000	100	6.571095	2.679333	3243.294667	1.070287e+06	11.160703
