Strain,Protein,mean_protein_remaining,sd
yHG038,eIF4E,2.924052008476024,0.3491116615930474
yHG055,eIF4B,0.13104723613240912,0.15199873123731739
yHG072,eIF4A,21.376939216388372,0.8883589524796804
yJB042,eIF3b,0.5644330090613544,0.3838585131339685
yJB143,eIF2a,0.18529803785125326,0.11907181782128415
yJB147,eIF5,0.9209928164511958,0.0970567878474668
yJB148,eIF5b,0.18601676664552652,0.03135154309328244
yJB262,eIF4G,1.010789347462932,0.09087338117183355
