Variable	Term	Value
mixing_Sup	mean	0.5169848724598399
mixing_Sup	se_mean	3.231269831692261e-4
mixing_Sup	sd	0.008207170126802237
mixing_Sup	x2.5	0.5003177893226467
mixing_Sup	x25	0.5113659426675928
mixing_Sup	x50	0.5168704234344594
mixing_Sup	x75	0.5226973902830482
mixing_Sup	x97.5	0.5326398861362469
mixing_Sup	n_eff	645.1198724946756
mixing_Sup	Rhat	1.002161160764846
mixing_Pellet	mean	0.8328036847107115
mixing_Pellet	se_mean	0.00010025854931007836
mixing_Pellet	sd	0.002637634225250858
mixing_Pellet	x2.5	0.8277197187502743
mixing_Pellet	x25	0.8309646593230778
mixing_Pellet	x50	0.8327731741849791
mixing_Pellet	x75	0.8346591570141154
mixing_Pellet	x97.5	0.8378510858459369
mixing_Pellet	n_eff	692.1278204935203
mixing_Pellet	Rhat	1.0031574281489952
phi	mean	106.71506195863704
phi	se_mean	0.08832711596540778
phi	sd	2.904678459722582
phi	x2.5	101.16224739917062
phi	x25	104.83484972183561
phi	x50	106.56242923542275
phi	x75	108.54267967913415
phi	x97.5	112.80652590893531
phi	n_eff	1081.4539416227435
phi	Rhat	0.9985915867227311
lp__	mean	48377473.50763395
lp__	se_mean	0.04273078346526987
lp__	sd	1.2433318538148541
lp__	x2.5	48377470.24864765
lp__	x25	48377472.92561361
lp__	x50	48377473.79533015
lp__	x75	48377474.432098724
lp__	x97.5	48377474.934841216
lp__	n_eff	846.6275745931588
lp__	Rhat	1.0018903182893
