Variable	Term	Value
mixing_Sup	mean	0.34759449814903
mixing_Sup	se_mean	1.3382858743039353e-4
mixing_Sup	sd	0.003758825952816682
mixing_Sup	x2.5	0.3402729145000124
mixing_Sup	x25	0.3450914094532065
mixing_Sup	x50	0.3475881857007926
mixing_Sup	x75	0.35002451404778756
mixing_Sup	x97.5	0.3552113977683056
mixing_Sup	n_eff	788.8721889019203
mixing_Sup	Rhat	0.9990325668609588
mixing_Pellet	mean	0.6354648739646558
mixing_Pellet	se_mean	7.359986970076981e-5
mixing_Pellet	sd	0.0020797124542324204
mixing_Pellet	x2.5	0.63136530140664
mixing_Pellet	x25	0.63404048995869
mixing_Pellet	x50	0.6355450267086009
mixing_Pellet	x75	0.6368204900668917
mixing_Pellet	x97.5	0.639553975359499
mixing_Pellet	n_eff	798.4587677871579
mixing_Pellet	Rhat	0.9993866474535265
phi	mean	151.17593133306852
phi	se_mean	0.1317452706500249
phi	sd	4.123973600593709
phi	x2.5	143.3159122852917
phi	x25	148.43900983623757
phi	x50	151.09438883826692
phi	x75	153.94819247402148
phi	x97.5	159.32732599137597
phi	n_eff	979.8547110580478
phi	Rhat	1.003019136289067
lp__	mean	120183290.50323655
lp__	se_mean	0.044521454387032894
lp__	sd	1.1798827834075498
lp__	x2.5	120183287.56699076
lp__	x25	120183289.91127126
lp__	x50	120183290.8109051
lp__	x75	120183291.41004337
lp__	x97.5	120183291.89728647
lp__	n_eff	702.3264783351624
lp__	Rhat	1.0054162121697185
