Variable	Term	Value
mixing_Sup	mean	0.8674514372774864
mixing_Sup	se_mean	9.154423697094671e-5
mixing_Sup	sd	0.0028623139629430886
mixing_Sup	x2.5	0.8616829855927804
mixing_Sup	x25	0.8655852496016757
mixing_Sup	x50	0.8675400023092434
mixing_Sup	x75	0.8693548227162055
mixing_Sup	x97.5	0.8728581552057073
mixing_Sup	n_eff	977.6254977370241
mixing_Sup	Rhat	1.0022780532226108
mixing_Pellet	mean	0.39911214483078805
mixing_Pellet	se_mean	5.602947514027928e-5
mixing_Pellet	sd	0.0017255029521943941
mixing_Pellet	x2.5	0.3958776624798753
mixing_Pellet	x25	0.3979229888038201
mixing_Pellet	x50	0.3990580554769505
mixing_Pellet	x75	0.40031201919558995
mixing_Pellet	x97.5	0.4026159611593827
mixing_Pellet	n_eff	948.4147615919395
mixing_Pellet	Rhat	1.0025081877407764
phi	mean	514.0038047811424
phi	se_mean	0.8185391406261567
phi	sd	20.660800973737448
phi	x2.5	475.1403171651075
phi	x25	499.53999619046726
phi	x50	513.4337875284957
phi	x75	527.0784897829058
phi	x97.5	554.9859698886673
phi	n_eff	637.1114437523347
phi	Rhat	1.0035432477437558
lp__	mean	45223345.26444223
lp__	se_mean	0.051703607100306775
lp__	sd	1.2652783497891054
lp__	x2.5	45223341.91157593
lp__	x25	45223344.73200211
lp__	x50	45223345.58831544
lp__	x75	45223346.152926415
lp__	x97.5	45223346.653705895
lp__	n_eff	598.8671186190006
lp__	Rhat	1.001532983467736
