Variable	Term	Value
mixing_Sup	mean	0.731544920248329
mixing_Sup	se_mean	8.497752000784536e-5
mixing_Sup	sd	0.0026191573359309454
mixing_Sup	x2.5	0.7262652045523141
mixing_Sup	x25	0.7297682524528781
mixing_Sup	x50	0.7315870994022701
mixing_Sup	x75	0.7333708934524061
mixing_Sup	x97.5	0.7366007645847441
mixing_Sup	n_eff	949.9813311662231
mixing_Sup	Rhat	1.0059989847783226
mixing_Pellet	mean	0.3673023190576409
mixing_Pellet	se_mean	7.366345649313557e-5
mixing_Pellet	sd	0.0021953373727989834
mixing_Pellet	x2.5	0.36317625496667433
mixing_Pellet	x25	0.36577805239774863
mixing_Pellet	x50	0.36729662619018433
mixing_Pellet	x75	0.36877506056561793
mixing_Pellet	x97.5	0.3716259859925617
mixing_Pellet	n_eff	888.1746120140052
mixing_Pellet	Rhat	1.0073455270196139
phi	mean	263.05927195963454
phi	se_mean	0.26131252630230006
phi	sd	7.433034461734329
phi	x2.5	248.81932774493643
phi	x25	257.94032002401616
phi	x50	263.0031417644942
phi	x75	268.2333479388768
phi	x97.5	277.1532390175694
phi	n_eff	809.1179490339184
phi	Rhat	1.0044863665233357
lp__	mean	45409517.090404205
lp__	se_mean	0.04353224983825718
lp__	sd	1.2298901742463562
lp__	x2.5	45409513.770198785
lp__	x25	45409516.594993055
lp__	x50	45409517.40846959
lp__	x75	45409517.96735868
lp__	x97.5	45409518.474338695
lp__	n_eff	798.1976370735096
lp__	Rhat	1.0017162090821645
