Variable	Term	Value
mixing_Sup	mean	0.43893942563006855
mixing_Sup	se_mean	6.2807041826482e-5
mixing_Sup	sd	0.0022280135177237246
mixing_Sup	x2.5	0.4346528018001826
mixing_Sup	x25	0.43743203750823034
mixing_Sup	x50	0.438965051953894
mixing_Sup	x75	0.4404557200253319
mixing_Sup	x97.5	0.4431327158695203
mixing_Sup	n_eff	1258.4007403793787
mixing_Sup	Rhat	1.0037852196364114
mixing_Pellet	mean	0.26973179236852207
mixing_Pellet	se_mean	4.874254564848133e-5
mixing_Pellet	sd	0.001728620913324333
mixing_Pellet	x2.5	0.2664251175973573
mixing_Pellet	x25	0.26856988654859104
mixing_Pellet	x50	0.26971581873838346
mixing_Pellet	x75	0.2708692272873148
mixing_Pellet	x97.5	0.27327105408861263
mixing_Pellet	n_eff	1257.7175227983741
mixing_Pellet	Rhat	1.0032275283657852
phi	mean	119.2584742351122
phi	se_mean	0.11318232025502306
phi	sd	3.5549435082297998
phi	x2.5	112.72898619649428
phi	x25	116.77027555600526
phi	x50	119.20666657867838
phi	x75	121.41507205275437
phi	x97.5	126.61139758958564
phi	n_eff	986.5252872937598
phi	Rhat	1.0031576456450737
lp__	mean	36935158.857584484
lp__	se_mean	0.04353177035673132
lp__	sd	1.2152404034903548
lp__	x2.5	36935155.77423474
lp__	x25	36935158.299078815
lp__	x50	36935159.194779344
lp__	x75	36935159.74049359
lp__	x97.5	36935160.24403567
lp__	n_eff	779.312678048015
lp__	Rhat	1.0003676793287695
