Variable	Term	Value
mixing_Sup	mean	0.8623341868443444
mixing_Sup	se_mean	4.8622204003277266e-5
mixing_Sup	sd	0.0019120818628444655
mixing_Sup	x2.5	0.8586489743624101
mixing_Sup	x25	0.8610832440082633
mixing_Sup	x50	0.8623478850235162
mixing_Sup	x75	0.8635506452948587
mixing_Sup	x97.5	0.866170312450342
mixing_Sup	n_eff	1546.4777703359168
mixing_Sup	Rhat	0.999338679544618
mixing_Pellet	mean	0.116258431760526
mixing_Pellet	se_mean	3.4623976300712485e-5
mixing_Pellet	sd	0.0012082280054708512
mixing_Pellet	x2.5	0.1137865209590853
mixing_Pellet	x25	0.11548443281798025
mixing_Pellet	x50	0.11626464129960043
mixing_Pellet	x75	0.11706449170385942
mixing_Pellet	x97.5	0.11851719416425598
mixing_Pellet	n_eff	1217.7101116537533
mixing_Pellet	Rhat	0.9996371495558498
phi	mean	156.47449192573387
phi	se_mean	0.1327546254140598
phi	sd	4.259209498611519
phi	x2.5	147.9171494524908
phi	x25	153.60918082905695
phi	x50	156.4577559317988
phi	x75	159.285012274999
phi	x97.5	164.9306227181403
phi	n_eff	1029.3396010475662
phi	Rhat	1.0047995750428886
lp__	mean	124041046.9267879
lp__	se_mean	0.05037622162516954
lp__	sd	1.242423056880549
lp__	x2.5	124041043.81899004
lp__	x25	124041046.39323877
lp__	x50	124041047.25230542
lp__	x75	124041047.82773632
lp__	x97.5	124041048.30499442
lp__	n_eff	608.2579907216395
lp__	Rhat	1.0034979544719715
