Variable	Term	Value
mixing_Sup	mean	0.5429695591676165
mixing_Sup	se_mean	5.068615511610736e-5
mixing_Sup	sd	0.001720934737385458
mixing_Sup	x2.5	0.5395281685390158
mixing_Sup	x25	0.541812429042691
mixing_Sup	x50	0.5429830936458735
mixing_Sup	x75	0.544143026217492
mixing_Sup	x97.5	0.5462404298778533
mixing_Sup	n_eff	1152.7897473746534
mixing_Sup	Rhat	0.9994437757075015
mixing_Pellet	mean	0.2916565844547642
mixing_Pellet	se_mean	5.4150603428729254e-5
mixing_Pellet	sd	0.00177100318480263
mixing_Pellet	x2.5	0.28836975144846066
mixing_Pellet	x25	0.29039831569499464
mixing_Pellet	x50	0.2916762967486898
mixing_Pellet	x75	0.2927948940156961
mixing_Pellet	x97.5	0.2952512060508531
mixing_Pellet	n_eff	1069.626325658138
mixing_Pellet	Rhat	1.0011952249638565
phi	mean	346.66304873065866
phi	se_mean	0.3413448972894944
phi	sd	10.121011266994357
phi	x2.5	326.7610901121749
phi	x25	340.090523100584
phi	x50	346.6636702701063
phi	x75	353.56189711978067
phi	x97.5	366.1138249290763
phi	n_eff	879.145963808901
phi	Rhat	1.0023828799043955
lp__	mean	169438831.83085853
lp__	se_mean	0.05107983486431268
lp__	sd	1.240103329192641
lp__	x2.5	169438828.62938777
lp__	x25	169438831.25486004
lp__	x50	169438832.14578992
lp__	x75	169438832.74026984
lp__	x97.5	169438833.2483413
lp__	n_eff	589.4090198858461
lp__	Rhat	1.009030673797116
