Variable	Term	Value
mixing_Sup	mean	0.9127388722741676
mixing_Sup	se_mean	6.286480770938081e-5
mixing_Sup	sd	0.0019179715307086982
mixing_Sup	x2.5	0.9088086998184973
mixing_Sup	x25	0.9115033953832623
mixing_Sup	x50	0.9127595547483407
mixing_Sup	x75	0.9139776888003562
mixing_Sup	x97.5	0.9164057431679609
mixing_Sup	n_eff	930.8273382724399
mixing_Sup	Rhat	1.00258031306455
mixing_Pellet	mean	0.19892477277177617
mixing_Pellet	se_mean	7.907460939338002e-5
mixing_Pellet	sd	0.002074898060967092
mixing_Pellet	x2.5	0.19476017216093533
mixing_Pellet	x25	0.19758626400512264
mixing_Pellet	x50	0.1988914224512004
mixing_Pellet	x75	0.20036218099097425
mixing_Pellet	x97.5	0.20298727173839995
mixing_Pellet	n_eff	688.5245325835065
mixing_Pellet	Rhat	1.0037200942146505
phi	mean	257.0880224234626
phi	se_mean	0.22946951812129476
phi	sd	6.904108409543674
phi	x2.5	243.75958836617357
phi	x25	252.26849478596455
phi	x50	256.76565624210775
phi	x75	261.87437791085677
phi	x97.5	270.70611046736667
phi	n_eff	905.2430453648212
phi	Rhat	1.0028073359624254
lp__	mean	183563325.96177337
lp__	se_mean	0.048338399014435374
lp__	sd	1.210876709678298
lp__	x2.5	183563322.9340474
lp__	x25	183563325.4418492
lp__	x50	183563326.27563092
lp__	x75	183563326.8293415
lp__	x97.5	183563327.30332926
lp__	n_eff	627.5023076016539
lp__	Rhat	1.008243000716055
