Variable	Term	Value
mixing_Sup	mean	0.5771646635283112
mixing_Sup	se_mean	2.8996877268719628e-5
mixing_Sup	sd	8.546932861940442e-4
mixing_Sup	x2.5	0.575465207530864
mixing_Sup	x25	0.5765802597988094
mixing_Sup	x50	0.577181003183499
mixing_Sup	x75	0.5777599853389054
mixing_Sup	x97.5	0.5787850223162869
mixing_Sup	n_eff	868.7966231389365
mixing_Sup	Rhat	1.0018299226507015
mixing_Pellet	mean	0.05623241996062999
mixing_Pellet	se_mean	2.095153205055036e-5
mixing_Pellet	sd	5.636761322338255e-4
mixing_Pellet	x2.5	0.05514564996491653
mixing_Pellet	x25	0.05584481380584377
mixing_Pellet	x50	0.05621981230979228
mixing_Pellet	x75	0.05661708597102557
mixing_Pellet	x97.5	0.05732896050218136
mixing_Pellet	n_eff	723.8152358189752
mixing_Pellet	Rhat	1.002192462241358
phi	mean	1242.7170842450369
phi	se_mean	2.62991312778499
phi	sd	72.51809521125615
phi	x2.5	1103.7356447918605
phi	x25	1195.8338757009415
phi	x50	1240.3718600381876
phi	x75	1290.1185460009967
phi	x97.5	1385.9446673562993
phi	n_eff	760.3437327076163
phi	Rhat	0.9996803255541196
lp__	mean	61764822.63683394
lp__	se_mean	0.052199764839024894
lp__	sd	1.2495040402070565
lp__	x2.5	61764819.42404022
lp__	x25	61764822.07917732
lp__	x50	61764822.97753559
lp__	x75	61764823.51955643
lp__	x97.5	61764824.020751975
lp__	n_eff	572.978381682245
lp__	Rhat	1.006374398089227
