Variable	Term	Value
mixing_Sup	mean	0.2634792770651751
mixing_Sup	se_mean	9.061685887071678e-5
mixing_Sup	sd	0.0026267574098193963
mixing_Sup	x2.5	0.2583888599787832
mixing_Sup	x25	0.2615912523100441
mixing_Sup	x50	0.26346040169445006
mixing_Sup	x75	0.26523221036836025
mixing_Sup	x97.5	0.2688092093915825
mixing_Sup	n_eff	840.2759325000834
mixing_Sup	Rhat	1.004238444290386
mixing_Pellet	mean	0.32181838371949145
mixing_Pellet	se_mean	3.6343587253661926e-5
mixing_Pellet	sd	0.0011226772532112346
mixing_Pellet	x2.5	0.3195889890562945
mixing_Pellet	x25	0.3210755352140955
mixing_Pellet	x50	0.32180217360454194
mixing_Pellet	x75	0.32257068395849553
mixing_Pellet	x97.5	0.3239494960442047
mixing_Pellet	n_eff	954.2326307492618
mixing_Pellet	Rhat	1.0032021358870704
phi	mean	140.47014007867753
phi	se_mean	0.12234515346608994
phi	sd	3.9172155971206917
phi	x2.5	132.5413809045992
phi	x25	137.7936869099801
phi	x50	140.49079952767312
phi	x75	143.18770026769764
phi	x97.5	148.10186371783533
phi	n_eff	1025.1358229258196
phi	Rhat	0.9994431724833093
lp__	mean	23894425.13948849
lp__	se_mean	0.0448949145339866
lp__	sd	1.1966888508018385
lp__	x2.5	23894422.16901454
lp__	x25	23894424.608426444
lp__	x50	23894425.409975056
lp__	x75	23894425.99294485
lp__	x97.5	23894426.509874646
lp__	n_eff	710.5067225896047
lp__	Rhat	1.0038925353301955
