Variable	Term	Value
mixing_Sup	mean	0.8534100052882255
mixing_Sup	se_mean	7.343748004705234e-5
mixing_Sup	sd	0.002372115567485021
mixing_Sup	x2.5	0.8485969452968738
mixing_Sup	x25	0.8518097698653092
mixing_Sup	x50	0.8534145320982414
mixing_Sup	x75	0.8550078050323752
mixing_Sup	x97.5	0.8579332370717028
mixing_Sup	n_eff	1043.3647389649718
mixing_Sup	Rhat	1.0012651297488473
mixing_Pellet	mean	0.21358627496330046
mixing_Pellet	se_mean	5.7203720597307133e-05
mixing_Pellet	sd	0.0017796217375473076
mixing_Pellet	x2.5	0.210129035905042
mixing_Pellet	x25	0.2123936325535189
mixing_Pellet	x50	0.21352845012464672
mixing_Pellet	x75	0.2148502056243955
mixing_Pellet	x97.5	0.2171376231412798
mixing_Pellet	n_eff	967.8473166082154
mixing_Pellet	Rhat	1.0010094999452221
phi	mean	312.8784236363727
phi	se_mean	0.39211814423495206
phi	sd	11.673829893051092
phi	x2.5	290.80382295461345
phi	x25	304.9483971267274
phi	x50	312.83587874049994
phi	x75	320.4901390579399
phi	x97.5	336.46285202039445
phi	n_eff	886.3246831116029
phi	Rhat	0.998811886414472
lp__	mean	41427169.84869273
lp__	se_mean	0.04219693185831658
lp__	sd	1.199077279844348
lp__	x2.5	41427166.80671629
lp__	x25	41427169.31909184
lp__	x50	41427170.15124114
lp__	x75	41427170.73148136
lp__	x97.5	41427171.207585275
lp__	n_eff	807.4815332741118
lp__	Rhat	1.0034365845069493
