Variable	Term	Value
mixing_Sup	mean	0.7297552966572332
mixing_Sup	se_mean	5.629639977701666e-5
mixing_Sup	sd	0.0016807742479993427
mixing_Sup	x2.5	0.726502449096511
mixing_Sup	x25	0.7285816506363434
mixing_Sup	x50	0.7297437772304507
mixing_Sup	x75	0.7309068186217346
mixing_Sup	x97.5	0.7329917717743212
mixing_Sup	n_eff	891.3690010388617
mixing_Sup	Rhat	1.0028918030601326
mixing_Pellet	mean	0.16599087459042214
mixing_Pellet	se_mean	5.335036146291742e-5
mixing_Pellet	sd	0.0015128520618216915
mixing_Pellet	x2.5	0.16301914394395148
mixing_Pellet	x25	0.1649735046093102
mixing_Pellet	x50	0.1659767018553218
mixing_Pellet	x75	0.1669788152346669
mixing_Pellet	x97.5	0.16890427993185014
mixing_Pellet	n_eff	804.1150499192601
mixing_Pellet	Rhat	1.0028070248274836
phi	mean	739.9453200209002
phi	se_mean	1.1826316656557139
phi	sd	35.958346655614314
phi	x2.5	669.058261431232
phi	x25	715.0904002114362
phi	x50	738.9983847358071
phi	x75	763.4944905006985
phi	x97.5	811.0777513827309
phi	n_eff	924.4861796882004
phi	Rhat	1.0081386392119518
lp__	mean	39211444.80924477
lp__	se_mean	0.050484612475577464
lp__	sd	1.285252500351128
lp__	x2.5	39211441.58707735
lp__	x25	39211444.26970035
lp__	x50	39211445.17925764
lp__	x75	39211445.72008154
lp__	x97.5	39211446.21682014
lp__	n_eff	648.1251302290779
lp__	Rhat	1.0013334089959374
