Variable	Term	Value
mixing_Sup	mean	0.7745811588740187
mixing_Sup	se_mean	6.641553159262603e-5
mixing_Sup	sd	0.002198095486868174
mixing_Sup	x2.5	0.7702970782127713
mixing_Sup	x25	0.7730805207870446
mixing_Sup	x50	0.7746599018989186
mixing_Sup	x75	0.7761318211958751
mixing_Sup	x97.5	0.7787239443113114
mixing_Sup	n_eff	1095.352245551017
mixing_Sup	Rhat	1.0042345531722676
mixing_Pellet	mean	0.2619842210168619
mixing_Pellet	se_mean	4.9907566021864485e-5
mixing_Pellet	sd	0.0015531315498886005
mixing_Pellet	x2.5	0.2590421505549539
mixing_Pellet	x25	0.26091075227975424
mixing_Pellet	x50	0.2619500364916473
mixing_Pellet	x75	0.2630197796361766
mixing_Pellet	x97.5	0.2650390442004031
mixing_Pellet	n_eff	968.4644957047085
mixing_Pellet	Rhat	1.0041442007330814
phi	mean	381.76788672991376
phi	se_mean	0.46691118511297486
phi	sd	15.402787590022594
phi	x2.5	352.0296900169088
phi	x25	371.0182755537461
phi	x50	381.5145834925711
phi	x75	392.3461129050006
phi	x97.5	413.0377591762275
phi	n_eff	1088.2535614841029
phi	Rhat	1.0052381128344465
lp__	mean	36650817.06618352
lp__	se_mean	0.03998546905524101
lp__	sd	1.1482705830697886
lp__	x2.5	36650814.07016171
lp__	x25	36650816.52980902
lp__	x50	36650817.34390643
lp__	x75	36650817.93653699
lp__	x97.5	36650818.40130554
lp__	n_eff	824.6773907142714
lp__	Rhat	1.002824546352448
