Variable	Term	Value
mixing_Sup	mean	0.36020370342976565
mixing_Sup	se_mean	1.0023536793648622e-4
mixing_Sup	sd	0.00327192238130407
mixing_Sup	x2.5	0.3536653061845862
mixing_Sup	x25	0.35807549185445875
mixing_Sup	x50	0.360156763351584
mixing_Sup	x75	0.3623192911468365
mixing_Sup	x97.5	0.36666318518044566
mixing_Sup	n_eff	1065.525891513371
mixing_Sup	Rhat	1.0014769420803733
mixing_Pellet	mean	0.6183710955383293
mixing_Pellet	se_mean	5.4053718333027723e-5
mixing_Pellet	sd	0.0018248313543619723
mixing_Pellet	x2.5	0.6147916383754221
mixing_Pellet	x25	0.6171840911209214
mixing_Pellet	x50	0.6183682696838596
mixing_Pellet	x75	0.6195672903189132
mixing_Pellet	x97.5	0.6219088927144039
mixing_Pellet	n_eff	1139.7098988103412
mixing_Pellet	Rhat	1.0006463220814388
phi	mean	229.9065780845993
phi	se_mean	0.2162449912659545
phi	sd	6.611675052415644
phi	x2.5	217.6599584351408
phi	x25	225.2599924056732
phi	x50	229.75301891509295
phi	x75	234.37820842489808
phi	x97.5	242.8241123709162
phi	n_eff	934.8262261919518
phi	Rhat	1.0023398660724736
lp__	mean	122578566.64003563
lp__	se_mean	0.041610282025395885
lp__	sd	1.2009762703260252
lp__	x2.5	122578563.60102864
lp__	x25	122578566.10131435
lp__	x50	122578566.92974493
lp__	x75	122578567.52465156
lp__	x97.5	122578568.00492744
lp__	n_eff	833.043220058443
lp__	Rhat	1.0061397629610755
