Variable	Term	Value
mixing_Sup	mean	0.6140533123183167
mixing_Sup	se_mean	4.76383691557364e-5
mixing_Sup	sd	0.0014262855046854623
mixing_Sup	x2.5	0.611114065119878
mixing_Sup	x25	0.6130834967878938
mixing_Sup	x50	0.6140996070797287
mixing_Sup	x75	0.6150047745696032
mixing_Sup	x97.5	0.6167717993064632
mixing_Sup	n_eff	896.3944645699764
mixing_Sup	Rhat	1.0034510091911784
mixing_Pellet	mean	0.17246793116174114
mixing_Pellet	se_mean	6.115033588750177e-5
mixing_Pellet	sd	0.0018869597748342023
mixing_Pellet	x2.5	0.16873423859190514
mixing_Pellet	x25	0.17123263286511953
mixing_Pellet	x50	0.17242440156295827
mixing_Pellet	x75	0.1737272903970113
mixing_Pellet	x97.5	0.17620330101778128
mixing_Pellet	n_eff	952.1987141586354
mixing_Pellet	Rhat	1.0043706584420917
phi	mean	312.7994078847911
phi	se_mean	0.295541754619062
phi	sd	8.519602933268947
phi	x2.5	296.6702675275434
phi	x25	307.21139955099864
phi	x50	312.5884391804499
phi	x75	318.2943323827694
phi	x97.5	330.92006858485837
phi	n_eff	830.9999813554263
phi	Rhat	1.000059407139293
lp__	mean	209498774.123397
lp__	se_mean	0.04945113524883098
lp__	sd	1.3305218473952423
lp__	x2.5	209498770.72620362
lp__	x25	209498773.5027848
lp__	x50	209498774.50545418
lp__	x75	209498775.08303398
lp__	x97.5	209498775.61329877
lp__	n_eff	723.9215215177388
lp__	Rhat	1.0052932810294406
