Variable	Term	Value
mixing_Sup	mean	0.6680281194302528
mixing_Sup	se_mean	3.909019610028093e-5
mixing_Sup	sd	0.0012525814589978103
mixing_Sup	x2.5	0.6655738018235605
mixing_Sup	x25	0.6672102671906521
mixing_Sup	x50	0.6680250363630564
mixing_Sup	x75	0.6688961240705353
mixing_Sup	x97.5	0.6705624527981993
mixing_Sup	n_eff	1026.7773018962196
mixing_Sup	Rhat	1.0036087558331384
mixing_Pellet	mean	0.1260931833006073
mixing_Pellet	se_mean	4.72426657838718e-5
mixing_Pellet	sd	0.0013876313315183048
mixing_Pellet	x2.5	0.12326385400699837
mixing_Pellet	x25	0.12518895471753824
mixing_Pellet	x50	0.12607929358040237
mixing_Pellet	x75	0.12704369051927156
mixing_Pellet	x97.5	0.12866320030462472
mixing_Pellet	n_eff	862.7389449863185
mixing_Pellet	Rhat	1.0035577134966225
phi	mean	288.90311818057813
phi	se_mean	0.2757666348997746
phi	sd	8.242258526632693
phi	x2.5	273.0713626092964
phi	x25	283.3339316868056
phi	x50	288.6857410782126
phi	x75	294.3748856578559
phi	x97.5	305.6881475366779
phi	n_eff	893.3240492062922
phi	Rhat	1.00113698967544
lp__	mean	175128386.3449917
lp__	se_mean	0.04240325317970988
lp__	sd	1.1688592690930666
lp__	x2.5	175128383.25371927
lp__	x25	175128385.81863603
lp__	x50	175128386.6455614
lp__	x75	175128387.1862715
lp__	x97.5	175128387.6563776
lp__	n_eff	759.8469007057045
lp__	Rhat	1.0007481745038351
