Variable	Term	Value
mixing_Sup	mean	0.3033649022920933
mixing_Sup	se_mean	8.15035555740573e-5
mixing_Sup	sd	0.0028238327230018477
mixing_Sup	x2.5	0.2979072285788346
mixing_Sup	x25	0.30150202258354175
mixing_Sup	x50	0.30336973969733394
mixing_Sup	x75	0.3052444030619272
mixing_Sup	x97.5	0.30886188835464173
mixing_Sup	n_eff	1200.3967830292256
mixing_Sup	Rhat	1.000975716251788
mixing_Pellet	mean	0.19265374008146974
mixing_Pellet	se_mean	1.8146768065839264e-5
mixing_Pellet	sd	6.439923235905776e-4
mixing_Pellet	x2.5	0.19137031031623714
mixing_Pellet	x25	0.19221699980662635
mixing_Pellet	x50	0.19265506999405457
mixing_Pellet	x75	0.19309972677273754
mixing_Pellet	x97.5	0.193929732958115
mixing_Pellet	n_eff	1259.3974339966442
mixing_Pellet	Rhat	0.999607482233947
phi	mean	248.7459911124131
phi	se_mean	0.3716611257997591
phi	sd	12.031827564083374
phi	x2.5	225.87805891020926
phi	x25	240.09301502416596
phi	x50	248.37193316124495
phi	x75	256.9951207311311
phi	x97.5	272.67690691839886
phi	n_eff	1048.0184350082234
phi	Rhat	1.0006496010794472
lp__	mean	14456639.312627502
lp__	se_mean	0.04691094666887951
lp__	sd	1.2408786384575636
lp__	x2.5	14456636.076773426
lp__	x25	14456638.736970931
lp__	x50	14456639.617869914
lp__	x75	14456640.230142795
lp__	x97.5	14456640.73737298
lp__	n_eff	699.6973390868044
lp__	Rhat	1.0044970776140234
