Variable	Term	Value
mixing_Sup	mean	0.5963942246557165
mixing_Sup	se_mean	1.0998021957614728e-4
mixing_Sup	sd	0.0036594818323028738
mixing_Sup	x2.5	0.5893005567800876
mixing_Sup	x25	0.593869614473368
mixing_Sup	x50	0.5963767067446737
mixing_Sup	x75	0.5989471860128786
mixing_Sup	x97.5	0.6034776897116902
mixing_Sup	n_eff	1107.1590797068752
mixing_Sup	Rhat	1.0017226306247748
mixing_Pellet	mean	0.4743635676287152
mixing_Pellet	se_mean	5.641171071562163e-5
mixing_Pellet	sd	0.0018793669617571034
mixing_Pellet	x2.5	0.47074519930272063
mixing_Pellet	x25	0.47314681384977475
mixing_Pellet	x50	0.47436141995571457
mixing_Pellet	x75	0.4755917958179631
mixing_Pellet	x97.5	0.47806582268922965
mixing_Pellet	n_eff	1109.9020040802784
mixing_Pellet	Rhat	1.0016650518220591
phi	mean	160.1046227601649
phi	se_mean	0.15586684904214304
phi	sd	5.023319846393642
phi	x2.5	150.0069444253137
phi	x25	156.6110419092393
phi	x50	159.9734348088129
phi	x75	163.37625381219723
phi	x97.5	170.1647509634134
phi	n_eff	1038.661780636885
phi	Rhat	1.0023214703449526
lp__	mean	37399478.66224414
lp__	se_mean	0.04458500150477467
lp__	sd	1.2444430490441836
lp__	x2.5	37399475.46743786
lp__	x25	37399478.0942947
lp__	x50	37399478.9966701
lp__	x75	37399479.5584366
lp__	x97.5	37399480.06931854
lp__	n_eff	779.06282478512
lp__	Rhat	1.001353502371398
