Variable	Term	Value
mixing_Sup	mean	0.8589265328828403
mixing_Sup	se_mean	4.324073454503592e-5
mixing_Sup	sd	0.0015496555195447298
mixing_Sup	x2.5	0.8557926478074234
mixing_Sup	x25	0.857871429846333
mixing_Sup	x50	0.8589094709418688
mixing_Sup	x75	0.8599990013180046
mixing_Sup	x97.5	0.8619471075927049
mixing_Sup	n_eff	1284.352422584017
mixing_Sup	Rhat	1.002524986031181
mixing_Pellet	mean	0.123258954539226
mixing_Pellet	se_mean	3.364914174027279e-5
mixing_Pellet	sd	0.0011192432979175917
mixing_Pellet	x2.5	0.12105318588539939
mixing_Pellet	x25	0.12247682215364078
mixing_Pellet	x50	0.12330146876378406
mixing_Pellet	x75	0.12402482673893364
mixing_Pellet	x97.5	0.12535571398330297
mixing_Pellet	n_eff	1106.371607131114
mixing_Pellet	Rhat	1.0027471996184802
phi	mean	373.10420766938427
phi	se_mean	0.40188107737825723
phi	sd	12.162140587316324
phi	x2.5	349.3961907787199
phi	x25	364.8667055667231
phi	x50	372.7829676537368
phi	x75	381.5711875921378
phi	x97.5	396.915168772849
phi	n_eff	915.8512086107387
phi	Rhat	1.0010480527898227
lp__	mean	121223096.9433037
lp__	se_mean	0.04144331598724791
lp__	sd	1.1330045088653824
lp__	x2.5	121223094.16753511
lp__	x25	121223096.35808831
lp__	x50	121223097.21297789
lp__	x75	121223097.80639546
lp__	x97.5	121223098.31350888
lp__	n_eff	747.4020453799699
lp__	Rhat	1.0047552565154225
