Variable	Term	Value
mixing_Sup	mean	0.5205758224769759
mixing_Sup	se_mean	1.8243694715976285e-4
mixing_Sup	sd	0.005266558709663297
mixing_Sup	x2.5	0.5097961073334153
mixing_Sup	x25	0.5169751592379488
mixing_Sup	x50	0.5206808195639154
mixing_Sup	x75	0.5241465597403026
mixing_Sup	x97.5	0.5310457612957972
mixing_Sup	n_eff	833.3515878118915
mixing_Sup	Rhat	1.0012163473880316
mixing_Pellet	mean	0.6579378606033779
mixing_Pellet	se_mean	1.0393204601449576e-4
mixing_Pellet	sd	0.0031602715286937724
mixing_Pellet	x2.5	0.6518751544183088
mixing_Pellet	x25	0.655767038401453
mixing_Pellet	x50	0.6578811458216167
mixing_Pellet	x75	0.6600298180084012
mixing_Pellet	x97.5	0.6642075082704175
mixing_Pellet	n_eff	924.5913865420788
mixing_Pellet	Rhat	1.0017720513523851
phi	mean	96.77412153322135
phi	se_mean	0.08530786274194921
phi	sd	2.6525818677968838
phi	x2.5	91.74203471084768
phi	x25	94.97386494214554
phi	x50	96.69984865012262
phi	x75	98.50697166844584
phi	x97.5	102.17542428458994
phi	n_eff	966.8508206449238
phi	Rhat	1.0003869026703889
lp__	mean	57950729.11175653
lp__	se_mean	0.045006949196052075
lp__	sd	1.2881572802864463
lp__	x2.5	57950725.93659202
lp__	x25	57950728.56781762
lp__	x50	57950729.45109385
lp__	x75	57950730.04158921
lp__	x97.5	57950730.560989335
lp__	n_eff	819.1786677585167
lp__	Rhat	1.0029628064964726
