Variable	Term	Value
mixing_Sup	mean	0.7886524240399514
mixing_Sup	se_mean	7.414761433802496e-5
mixing_Sup	sd	0.0023976325801912542
mixing_Sup	x2.5	0.7839471989255747
mixing_Sup	x25	0.7870737281716238
mixing_Sup	x50	0.7886396390213788
mixing_Sup	x75	0.7901869005622499
mixing_Sup	x97.5	0.7932260472467758
mixing_Sup	n_eff	1045.6128166585352
mixing_Sup	Rhat	1.0017065963480327
mixing_Pellet	mean	0.15109044354353782
mixing_Pellet	se_mean	9.239557397810671e-5
mixing_Pellet	sd	0.0027777561047090046
mixing_Pellet	x2.5	0.14555331292271406
mixing_Pellet	x25	0.14931256022242181
mixing_Pellet	x50	0.15111420824617755
mixing_Pellet	x75	0.1529246889797086
mixing_Pellet	x97.5	0.15656483115320236
mixing_Pellet	n_eff	903.8281969388273
mixing_Pellet	Rhat	1.0024844132808817
phi	mean	155.68906879214362
phi	se_mean	0.11730262560433327
phi	sd	3.7174659424223635
phi	x2.5	148.32007991706428
phi	x25	153.16661509963726
phi	x50	155.65122421980965
phi	x75	158.16676998204883
phi	x97.5	163.26332144911947
phi	n_eff	1004.3348449846927
phi	Rhat	1.0043732341314975
lp__	mean	185554023.69145814
lp__	se_mean	0.043215912024515926
lp__	sd	1.1781294563570122
lp__	x2.5	185554020.69835913
lp__	x25	185554023.12805134
lp__	x50	185554023.97933996
lp__	x75	185554024.56930575
lp__	x97.5	185554025.04909346
lp__	n_eff	743.1879574794718
lp__	Rhat	1.0024266991273594
