Variable	Term	Value
mixing_Sup	mean	0.828584958375083
mixing_Sup	se_mean	4.645222055319484e-5
mixing_Sup	sd	0.001693941311802219
mixing_Sup	x2.5	0.8252890170435788
mixing_Sup	x25	0.827427240253258
mixing_Sup	x50	0.8286314001031866
mixing_Sup	x75	0.8297286299073383
mixing_Sup	x97.5	0.8317500404595116
mixing_Sup	n_eff	1329.7921369955989
mixing_Sup	Rhat	0.9994371493044389
mixing_Pellet	mean	0.09399880651558817
mixing_Pellet	se_mean	2.5154709038209696e-5
mixing_Pellet	sd	8.261073595893519e-4
mixing_Pellet	x2.5	0.09240002210032781
mixing_Pellet	x25	0.0934514776527124
mixing_Pellet	x50	0.09396635300329198
mixing_Pellet	x75	0.09455751213854204
mixing_Pellet	x97.5	0.09561776149663258
mixing_Pellet	n_eff	1078.5353545243347
mixing_Pellet	Rhat	1.0005715010213132
phi	mean	503.0431076574082
phi	se_mean	0.8733813938415178
phi	sd	27.044155452732472
phi	x2.5	452.0184011715446
phi	x25	484.84390041456004
phi	x50	502.8531092202856
phi	x75	520.7974892756725
phi	x97.5	558.8647824847159
phi	n_eff	958.8241761899991
phi	Rhat	1.0007720724691547
lp__	mean	35627304.32185339
lp__	se_mean	0.04580356781196573
lp__	sd	1.2957354331409865
lp__	x2.5	35627301.08587263
lp__	x25	35627303.734005906
lp__	x50	35627304.62400076
lp__	x75	35627305.26429499
lp__	x97.5	35627305.76933277
lp__	n_eff	800.2654251946858
lp__	Rhat	0.9997571990796311
