Variable	Term	Value
mixing_Sup	mean	0.6194023414394235
mixing_Sup	se_mean	6.456394272595722e-5
mixing_Sup	sd	0.002087555400198292
mixing_Sup	x2.5	0.6153635472250553
mixing_Sup	x25	0.6180547465125398
mixing_Sup	x50	0.6194047102645814
mixing_Sup	x75	0.620806132692391
mixing_Sup	x97.5	0.6235483061120375
mixing_Sup	n_eff	1045.4323439833202
mixing_Sup	Rhat	1.0024067042927722
mixing_Pellet	mean	0.29706355197450823
mixing_Pellet	se_mean	4.188079631477984e-5
mixing_Pellet	sd	0.0013609661646354994
mixing_Pellet	x2.5	0.29437797982907593
mixing_Pellet	x25	0.2961285385001362
mixing_Pellet	x50	0.2970631946327651
mixing_Pellet	x75	0.29799842700744494
mixing_Pellet	x97.5	0.2998572640343232
mixing_Pellet	n_eff	1056.002132110875
mixing_Pellet	Rhat	1.001903421693797
phi	mean	270.56079751962056
phi	se_mean	0.2994788010718689
phi	sd	8.335258976767706
phi	x2.5	254.3527143234784
phi	x25	265.0065975891691
phi	x50	270.5757427733557
phi	x75	276.1434140663937
phi	x97.5	286.9385771818282
phi	n_eff	774.6508900590715
phi	Rhat	0.9991072243007462
lp__	mean	118728208.20892799
lp__	se_mean	0.04817313252431793
lp__	sd	1.1899873207012255
lp__	x2.5	118728205.20005392
lp__	x25	118728207.63721424
lp__	x50	118728208.51732981
lp__	x75	118728209.1059696
lp__	x97.5	118728209.59410104
lp__	n_eff	610.2037782484441
lp__	Rhat	1.0030706844351807
