Variable	Term	Value
mixing_Sup	mean	0.8643875520032873
mixing_Sup	se_mean	1.580251765992402e-4
mixing_Sup	sd	0.004825289171007644
mixing_Sup	x2.5	0.8550752618811296
mixing_Sup	x25	0.8610740565237418
mixing_Sup	x50	0.8642742939737207
mixing_Sup	x75	0.8676248558359343
mixing_Sup	x97.5	0.8739357170398896
mixing_Sup	n_eff	932.3825163844436
mixing_Sup	Rhat	1.0051027432572122
mixing_Pellet	mean	0.3379079942622808
mixing_Pellet	se_mean	3.774680300010023e-5
mixing_Pellet	sd	0.0012053821825822582
mixing_Pellet	x2.5	0.33553194410292414
mixing_Pellet	x25	0.337096094361542
mixing_Pellet	x50	0.33791567428463176
mixing_Pellet	x75	0.3387518426781178
mixing_Pellet	x97.5	0.3402388364297846
mixing_Pellet	n_eff	1019.7393684255501
mixing_Pellet	Rhat	1.0026005981163642
phi	mean	235.3739608107409
phi	se_mean	0.36573994151108585
phi	sd	9.329629173438304
phi	x2.5	217.84595707513495
phi	x25	228.8907134154576
phi	x50	235.38766929488884
phi	x75	241.22815899683707
phi	x97.5	254.4746553625684
phi	n_eff	650.7047574956099
phi	Rhat	1.003484213247114
lp__	mean	31527076.016349044
lp__	se_mean	0.05103645827028774
lp__	sd	1.2580920563890856
lp__	x2.5	31527072.57231078
lp__	x25	31527075.49320432
lp__	x50	31527076.321039423
lp__	x75	31527076.94554571
lp__	x97.5	31527077.431936055
lp__	n_eff	607.6643854720087
lp__	Rhat	1.0040445555498216
