Variable	Term	Value
mixing_Sup	mean	0.6712120312224373
mixing_Sup	se_mean	6.379435488015015e-5
mixing_Sup	sd	0.002058812484495928
mixing_Sup	x2.5	0.6671983289400435
mixing_Sup	x25	0.6698284326888676
mixing_Sup	x50	0.6711841822594525
mixing_Sup	x75	0.6725747654580218
mixing_Sup	x97.5	0.675219358622219
mixing_Sup	n_eff	1041.5235307573082
mixing_Sup	Rhat	1.0011133538456611
mixing_Pellet	mean	0.24163871250144442
mixing_Pellet	se_mean	4.952543402276129e-5
mixing_Pellet	sd	0.001522163960874947
mixing_Pellet	x2.5	0.23866424026965413
mixing_Pellet	x25	0.24064336551929805
mixing_Pellet	x50	0.24162845029793792
mixing_Pellet	x75	0.2426777175321049
mixing_Pellet	x97.5	0.24465754322301858
mixing_Pellet	n_eff	944.6399099702832
mixing_Pellet	Rhat	1.0005163809404114
phi	mean	340.0462262890535
phi	se_mean	0.41747154546869547
phi	sd	12.88186281276656
phi	x2.5	315.71599636601707
phi	x25	331.35620188234094
phi	x50	339.74307472947163
phi	x75	348.7438646626888
phi	x97.5	366.80613019613315
phi	n_eff	952.1460722300875
phi	Rhat	1.0050825721323997
lp__	mean	31690386.204832915
lp__	se_mean	0.04533444201997602
lp__	sd	1.2583672657862637
lp__	x2.5	31690382.867565483
lp__	x25	31690385.651391458
lp__	x50	31690386.53831902
lp__	x75	31690387.143829584
lp__	x97.5	31690387.64593922
lp__	n_eff	770.474509765533
lp__	Rhat	1.0006814806184485
