Variable	Term	Value
mixing_Sup	mean	0.46467496450995366
mixing_Sup	se_mean	1.7658813160513536e-4
mixing_Sup	sd	0.004978124190718733
mixing_Sup	x2.5	0.45529297210608
mixing_Sup	x25	0.46132076956464735
mixing_Sup	x50	0.4645918494978526
mixing_Sup	x75	0.46803921021146644
mixing_Sup	x97.5	0.474764166162992
mixing_Sup	n_eff	794.7095477425313
mixing_Sup	Rhat	1.0027977810658215
mixing_Pellet	mean	0.5086981365821689
mixing_Pellet	se_mean	1.1501361992399147e-4
mixing_Pellet	sd	0.0031570660540392163
mixing_Pellet	x2.5	0.5025298556441276
mixing_Pellet	x25	0.5065322167621427
mixing_Pellet	x50	0.5087292970484578
mixing_Pellet	x75	0.5108798640160459
mixing_Pellet	x97.5	0.5147204104079393
mixing_Pellet	n_eff	753.4749041574936
mixing_Pellet	Rhat	1.004046240125067
phi	mean	65.53130494267792
phi	se_mean	0.06107093277796982
phi	sd	1.829558586643965
phi	x2.5	62.171732151528936
phi	x25	64.24474188316614
phi	x50	65.44162354634227
phi	x75	66.76332316307304
phi	x97.5	69.20051998872205
phi	n_eff	897.4774300279421
phi	Rhat	1.0053836013780388
lp__	mean	38561839.23853545
lp__	se_mean	0.044798901764545714
lp__	sd	1.1990485417079981
lp__	x2.5	38561836.08749933
lp__	x25	38561838.66885824
lp__	x50	38561839.547497034
lp__	x75	38561840.1355589
lp__	x97.5	38561840.65120705
lp__	n_eff	716.3723178924545
lp__	Rhat	0.9986908741956889
