"Distance","Absorbance","Fraction.Number","Fraction.Volume.ml.","Strain","Treatment","Rep","Sample.index","Protein","Offset","Distance.adj","Absorbance.adj","Absorbance.norm"
13.62,0.098162,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.62,0.095162,0.000194954831516942
13.65,0.097905,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.65,0.094905,0.000194428325225567
13.68,0.097483,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.68,0.094483,0.000193563789603153
13.71,0.097109,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.71,0.094109,0.000192797589786132
13.74,0.096649,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.74,0.093649,0.000191855204984449
13.77,0.096309,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.77,0.093309,0.000191158659696248
13.8,0.096049,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.8,0.093049,0.000190626007417035
13.83,0.095659,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.83,0.092659,0.000189827028998217
13.86,0.095288,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.86,0.092288,0.000189066975169033
13.89,0.094854,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.89,0.091854,0.000188177855595271
13.92,0.094375,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.92,0.091375,0.000187196546203953
13.95,0.094007,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.95,0.091007,0.000186442638362606
13.98,0.093569,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.98,0.090569,0.000185545324138395
14.01,0.093011,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.01,0.090011,0.0001844021704007
14.04,0.092636,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.04,0.089636,0.000183633921921067
14.07,0.092364,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.07,0.089364,0.000183076685690507
14.1,0.091942,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.1,0.088942,0.000182212150068093
14.13,0.091593,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.13,0.088593,0.000181497166816381
14.16,0.091241,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.16,0.088241,0.000180776037576832
14.19,0.090768,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.19,0.087768,0.000179807020161188
14.23,0.090318,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.23,0.087318,0.000178885121985628
14.25,0.089893,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.25,0.086893,0.000178014440375377
14.28,0.089474,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.28,0.086474,0.0001771560507408
14.31,0.089033,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.31,0.086033,0.000176252590528752
14.34,0.088513,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.34,0.085513,0.000175187285970327
14.37,0.088012,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.37,0.085012,0.000174160906001537
14.4,0.087425,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.4,0.084425,0.000172958341048085
14.43,0.086838,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.43,0.083838,0.000171755776094632
14.46,0.08635,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.46,0.08335,0.000170756028739803
14.49,0.085785,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.49,0.082785,0.000169598534363822
14.52,0.08535,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.52,0.08235,0.000168707366127448
14.55,0.08491,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.55,0.08191,0.000167805954578011
14.58,0.08437,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.58,0.08137,0.00016669967676734
14.61,0.083926,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.61,0.080926,0.000165790070567454
14.64,0.083431,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.64,0.080431,0.000164775982574338
14.68,0.083025,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.68,0.080025,0.000163944225553722
14.7,0.082645,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.7,0.079645,0.000163165733761027
14.73,0.082096,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.73,0.079096,0.000162041017986844
14.76,0.081674,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.76,0.078674,0.00016117648236443
14.79,0.081243,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.79,0.078243,0.000160293508778505
14.82,0.080713,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.82,0.077713,0.000159207717593957
14.85,0.080272,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.85,0.077272,0.000158304257381908
14.88,0.079841,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.88,0.076841,0.000157421283795983
14.91,0.079406,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.91,0.076406,0.000156530115559609
14.94,0.078911,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.94,0.075911,0.000155516027566493
14.97,0.078559,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,14.97,0.075559,0.000154794898326944
