"Distance","Absorbance","Fraction.Number","Fraction.Volume.ml.","Strain","Treatment","Rep","Sample.index","Protein","Offset","Distance.adj","Absorbance.adj","Absorbance.norm"
13.62,0.058478,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,13.62,0.055478,0.000157578811418684
13.65,0.058208,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,13.65,0.055208,0.000156811907797734
13.68,0.057834,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,13.68,0.054834,0.00015574960426353
13.71,0.057539,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,13.71,0.054539,0.000154911691048048
13.74,0.057244,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,13.74,0.054244,0.000154073777832566
13.77,0.057031,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,13.77,0.054031,0.00015346877608715
13.8,0.056648,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,13.8,0.053648,0.000152380909098914
13.83,0.056299,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,13.83,0.053299,0.000151389615159242
13.86,0.056086,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,13.86,0.053086,0.000150784613413826
13.89,0.055839,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,13.89,0.052839,0.000150083038619846
13.92,0.055598,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,13.92,0.052598,0.000149398506128554
13.95,0.055439,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,13.95,0.052439,0.000148946885107328
13.98,0.0553,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,13.98,0.0523,0.000148552071761728
14.01,0.055154,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,14.01,0.052154,0.000148137375729659
14.04,0.054922,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,14.04,0.051922,0.000147478406692399
14.07,0.054738,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,14.07,0.051738,0.00014695577607664
14.1,0.0545,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,14.1,0.0515,0.000146279764736692
14.13,0.05424,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,14.13,0.05124,0.000145541264953555
14.16,0.054034,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,14.16,0.051034,0.000144956145894609
14.19,0.053799,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,14.19,0.050799,0.000144288655706004
14.22,0.053587,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,14.22,0.050587,0.00014368649434437
14.25,0.053453,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,14.25,0.050453,0.000143305882917676
14.28,0.053247,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,14.28,0.050247,0.00014272076385873
14.31,0.053054,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,14.31,0.050054,0.00014217256978894
14.34,0.052882,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,14.34,0.049882,0.000141684023778557
14.37,0.052702,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,14.37,0.049702,0.000141172754697924
14.41,0.052451,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,14.41,0.049451,0.000140459818368819
