"Distance","Absorbance","Fraction.Number","Fraction.Volume.ml.","Strain","Treatment","Rep","Sample.index","Protein","Offset","Distance.adj","Absorbance.adj","Absorbance.norm"
13.62,0.088646,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.62,0.085646,0.000205990895710376
13.65,0.087748,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.65,0.084748,0.000203831077104161
13.68,0.086971,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.68,0.083971,0.000201962280826845
13.71,0.086245,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.71,0.083245,0.000200216146853446
13.74,0.085401,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.74,0.082401,0.000198186205980789
13.77,0.084618,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.77,0.081618,0.000196302978844189
13.8,0.083783,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.8,0.080783,0.000194294684260459
13.83,0.083317,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.83,0.080317,0.000193173887522713
13.86,0.082692,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.86,0.079692,0.000191670673013933
13.89,0.081852,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.89,0.078852,0.000189650352714132
13.92,0.081144,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.92,0.078144,0.000187947511318586
13.95,0.080507,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.95,0.077507,0.000186415435091237
13.98,0.079761,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.98,0.076761,0.000184621198253557
14.01,0.079143,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,14.01,0.076143,0.000183134819747275
14.04,0.078391,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,14.04,0.075391,0.000181326152050311
14.07,0.0779,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,14.07,0.0749,0.000180145226732213
14.1,0.077287,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,14.1,0.074287,0.000178670873942002
14.13,0.076551,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,14.13,0.073551,0.000176900688536462
14.16,0.075987,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,14.16,0.072987,0.000175544187763739
14.19,0.075489,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,14.19,0.072489,0.000174346426443143
