"Distance","Absorbance","Fraction.Number","Fraction.Volume.ml.","Strain","Treatment","Rep","Sample.index","Protein","Offset","Distance.adj","Absorbance.adj","Absorbance.norm"
8.64,0.11524,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,13.64,0.11224,0.000370826810343598
8.67,0.114374,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,13.67,0.111374,0.00036796565551682
8.7,0.113625,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,13.7,0.110625,0.000365491053940311
8.73,0.11288,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,13.73,0.10988,0.000363029667859538
8.76,0.112134,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,13.76,0.109134,0.000360564977904831
8.79,0.111462,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,13.79,0.108462,0.000358344774621234
8.82,0.110678,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,13.82,0.107678,0.000355754537457038
8.85,0.109917,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,13.85,0.106917,0.000353240289393322
8.88,0.109096,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,13.88,0.106096,0.000350527808893571
8.91,0.1081,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,13.91,0.1051,0.000347237150455383
8.94,0.107069,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,13.94,0.104069,0.000343830856429507
8.97,0.10579,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,13.97,0.10279,0.000339605201668019
9,0.104357,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14,0.101357,0.000334870750320706
9.03,0.102923,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.03,0.099923,0.00033013299509946
9.06,0.10141,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.06,0.09841,0.000325134233837433
9.09,0.100211,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.09,0.097211,0.000321172888990658
9.12,0.09911,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.12,0.09611,0.000317535323789409
9.15,0.098,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.15,0.095,0.000313868023722753
9.19,0.097096,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.19,0.094096,0.000310881321686486
9.21,0.096164,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.21,0.093164,0.000307802111180069
9.24,0.095269,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.24,0.092269,0.000304845144009207
9.27,0.094394,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.27,0.091394,0.000301954254317024
9.3,0.093309,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.3,0.090309,0.000298369551098717
9.33,0.092303,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.33,0.089303,0.00029504585392119
9.36,0.091139,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.36,0.088139,0.000291200144662103
9.39,0.090375,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.39,0.087375,0.000288675984976585
9.42,0.089464,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.42,0.086464,0.00028566615582278
9.45,0.088402,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.45,0.085402,0.000282157441704953
9.48,0.087511,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.48,0.084511,0.000279213690029827
9.51,0.086676,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.51,0.083676,0.000276454955295001
9.54,0.085769,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.54,0.082769,0.000273458341636932
9.57,0.085046,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.57,0.082046,0.000271069640782705
9.59,0.084656,3,0.586,"yJB147","mock","rep1",1,"eIF5",-5,14.59,0.081656,0.000269781129948475
9.6,0.084132,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.6,0.081132,0.000268049900007099
9.63,0.083485,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.63,0.080485,0.00026591229357185
9.66,0.082651,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.66,0.079651,0.000263156862710958
9.69,0.081684,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.69,0.078684,0.000259962016616854
9.72,0.080929,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.72,0.077929,0.000257467591796741
9.75,0.080082,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.75,0.077082,0.000254669210574708
9.78,0.079343,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.78,0.076343,0.000252227647737538
9.81,0.078591,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.81,0.075591,0.000249743134539228
9.84,0.077773,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.84,0.074773,0.000247040565661278
9.87,0.077249,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.87,0.074249,0.000245309335719902
9.9,0.076564,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.9,0.073564,0.000243046182075164
9.93,0.075904,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.93,0.072904,0.000240865625278775
9.96,0.075305,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.96,0.072305,0.000238886604792354
9.99,0.07469,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,14.99,0.07169,0.000236854722322991
10.02,0.074169,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,15.02,0.071169,0.000235133404003417
10.06,0.073516,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,15.06,0.070516,0.000232975974324565
10.08,0.073012,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,15.08,0.070012,0.000231310821861867
10.11,0.072377,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,15.11,0.069377,0.000229212861913826
10.14,0.071847,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,15.14,0.068847,0.000227461808728846
10.17,0.071277,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,15.17,0.068277,0.00022557860058651
10.2,0.07088,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,15.2,0.06788,0.000224266962634742
10.23,0.070319,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,15.23,0.067319,0.000222413489357811
10.26,0.069627,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,15.26,0.066627,0.000220127208595535
10.29,0.06911,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,15.29,0.06611,0.000218419105771697
10.32,0.068596,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,15.32,0.065596,0.00021672091456966
10.35,0.068216,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,15.35,0.065216,0.000215465442474769
10.38,0.067895,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,15.38,0.064895,0.00021440489894198
10.41,0.067553,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,15.41,0.064553,0.000213274974056578
