"Distance","Absorbance","Fraction.Number","Fraction.Volume.ml.","Strain","Treatment","Rep","Sample.index","Protein","Offset","Distance.adj","Absorbance.adj","Absorbance.norm"
13.56,0.353246,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,13.56,0.350246,0.000851468713881604
13.59,0.351726,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,13.59,0.348726,0.000847773504100193
13.62,0.350036,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,13.62,0.347036,0.00084366501427744
13.65,0.348558,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,13.65,0.345558,0.000840071908976831
13.69,0.346803,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,13.69,0.343803,0.000835805400314741
13.71,0.345506,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,13.71,0.342506,0.000832652316705209
13.74,0.343939,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,13.74,0.340939,0.000828842847147662
13.77,0.342271,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,13.77,0.339271,0.000824787840624377
13.8,0.340897,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,13.8,0.337897,0.000821447565466707
13.83,0.339457,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,13.83,0.336457,0.000817946840410633
13.86,0.337586,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,13.86,0.334586,0.000813398328896805
13.89,0.33607,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,13.89,0.33307,0.000809712843351661
13.92,0.334626,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,13.92,0.331626,0.00080620239405932
13.95,0.333148,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,13.95,0.330148,0.000802609288758711
13.98,0.331524,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,13.98,0.328524,0.000798661248834362
14.01,0.329777,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.01,0.326777,0.000794414188644806
14.04,0.328251,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.04,0.325251,0.000790704392508995
14.07,0.326341,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.07,0.323341,0.000786061069691564
14.1,0.324679,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.1,0.321679,0.000782020649522679
14.13,0.32323,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.13,0.32023,0.000778498044935005
14.16,0.3212,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.16,0.3182,0.000773562995029568
14.19,0.319484,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.19,0.316484,0.000769391297671081
14.22,0.317441,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.22,0.314441,0.000764424643997777
14.25,0.315665,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.25,0.312665,0.000760107083095286
14.28,0.313872,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.28,0.310872,0.000755748194188661
14.31,0.311684,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.31,0.308684,0.000750429036950683
14.34,0.310063,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.34,0.307063,0.000746488290203534
14.37,0.307798,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.37,0.304798,0.000740981941417418
14.4,0.305917,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.4,0.302917,0.000736409119312922
14.43,0.303954,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.43,0.300954,0.000731636950364955
14.46,0.301686,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.46,0.298686,0.00072612330840164
14.49,0.299824,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.49,0.296824,0.000721596676419411
14.52,0.297734,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.52,0.294734,0.000716515762969971
14.55,0.296249,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.55,0.293249,0.000712905640255895
14.58,0.294463,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.58,0.291463,0.000708563768762738
14.61,0.292414,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.61,0.289414,0.000703582528735033
14.64,0.290727,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.64,0.287727,0.00069948133208948
14.67,0.288865,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.67,0.285865,0.000694954700107252
14.7,0.287311,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.7,0.284311,0.000691176834317573
14.73,0.285722,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.73,0.282722,0.000687313881460558
14.76,0.28417,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.76,0.28117,0.000683540877789012
14.79,0.282705,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.79,0.279705,0.000679979376256271
14.82,0.281059,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.82,0.278059,0.000675977853032454
14.85,0.27979,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.85,0.27679,0.000672892839076789
14.88,0.278604,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.88,0.275604,0.000670009603023662
14.91,0.277151,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.91,0.274151,0.000666477274199721
14.94,0.275758,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.94,0.272758,0.000663090808919783
14.97,0.274312,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,14.97,0.271312,0.000659575497509309
15,0.272866,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,15,0.269866,0.000656060186098836
15.03,0.271391,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,15.03,0.268391,0.000652474373975427
15.06,0.269649,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,15.06,0.266649,0.000648239469081205
15.09,0.268193,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,15.09,0.265193,0.000644699847080064
15.12,0.266484,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,15.12,0.263484,0.000640545167135044
