# scer_aggregation_psup.txt 
# Generated:  Thu Sep 10 11:17:15 2015 
#
# Citation: 
#    Reversible, specific, active aggregates of endogenous proteins assemble upon heat stress. Edward W.J. Wallace, Jamie L. Kear-Scott, Evgeny V. Pilipenko, Michael H. Schwartz, Pawel R. Laskowski, Alexandra E. Rojek, Christopher D. Katanski, Joshua A. Riback, Michael F. Dion, Alexander M. Franks, Edoardo M. Airoldi, Tao Pan, Bogdan A. Budnik, D. Allan Drummond. Cell 162(6), 2015. http://drummondlab.org/endogenous-aggregates 
# 
# Columns:
#   orf: systematic orf name
#   gene: gene name from SGD
#   experiment: experiment id; temperature, time, and replicate
#   n.detections: number of peptide detection events
#   n.peptides: number of unique peptides detected
#   intensity.t: summed intensity for total (light) channel
#   intensity.s: summed intensity for supernatant (medium) channel
#   intensity.p: summed intensity for pellet (heavy) channel
#   psup: normalized proportion in supernatant
#   psup.lo: normalized 2.5% percentile of psup
#   psup.hi: normalized 97.5% percentile of psup
#   30C.repi:  sample grown at 30C, biological replicate i
#   xC.ymin: sample shocked for x min at y C
# 
orf	gene	n.detections_30C.rep1	n.peptides_30C.rep1	intensity.t_30C.rep1	intensity.s_30C.rep1	intensity.p_30C.rep1	psup_30C.rep1	psup.lo_30C.rep1	psup.hi_30C.rep1	n.detections_30C.rep2	n.peptides_30C.rep2	intensity.t_30C.rep2	intensity.s_30C.rep2	intensity.p_30C.rep2	psup_30C.rep2	psup.lo_30C.rep2	psup.hi_30C.rep2	n.detections_30C.rep3	n.peptides_30C.rep3	intensity.t_30C.rep3	intensity.s_30C.rep3	intensity.p_30C.rep3	psup_30C.rep3	psup.lo_30C.rep3	psup.hi_30C.rep3	n.detections_37C.8min	n.peptides_37C.8min	intensity.t_37C.8min	intensity.s_37C.8min	intensity.p_37C.8min	psup_37C.8min	psup.lo_37C.8min	psup.hi_37C.8min	n.detections_42C.8min	n.peptides_42C.8min	intensity.t_42C.8min	intensity.s_42C.8min	intensity.p_42C.8min	psup_42C.8min	psup.lo_42C.8min	psup.hi_42C.8min	n.detections_46C.2min	n.peptides_46C.2min	intensity.t_46C.2min	intensity.s_46C.2min	intensity.p_46C.2min	psup_46C.2min	psup.lo_46C.2min	psup.hi_46C.2min	n.detections_46C.4min	n.peptides_46C.4min	intensity.t_46C.4min	intensity.s_46C.4min	intensity.p_46C.4min	psup_46C.4min	psup.lo_46C.4min	psup.hi_46C.4min	n.detections_46C.8min	n.peptides_46C.8min	intensity.t_46C.8min	intensity.s_46C.8min	intensity.p_46C.8min	psup_46C.8min	psup.lo_46C.8min	psup.hi_46C.8min
YAL005C	SSA1	294	41	9879182628	18679531595	3099118515	0.8053	0.7877	0.8223	166	41	34444936630	23495610860	6873538469	0.8211	0.7940	0.8430	205	32	2559572353.0	2515905885.8	86128160.5	0.9039	0.8746	0.9278	257	39	15406060880	6429631059	1210584322	0.8312	0.7948	0.8640	220	39	6823428864	4018352917	643146802.7	0.7612	0.7198	0.7998	226	41	36262452880	29102046220	4056451562	0.7995	0.7670	0.8282	289	37	27415652430	23384890041	7733963188.0	0.7466	0.7259	0.7661	180	39	3325024248	4486638752.0	2583576275	0.6684	0.6423	0.6936
YAL007C	ERP2	4	4	13493260	9315850	63775600	0.1207	0.0646	0.2273	NA	NA	NA	NA	NA	NA	NA	NA	1	1	3571400.0	748770.0	232530.0	0.5234	0.0691	0.9710	NA	NA	NA	NA	NA	NA	NA	NA	1	1	5749400	141820	244220.0	0.0533	0.0056	0.4327	2	1	53035000	8794700	39771000	0.1003	0.0274	0.3220	3	2	46975500	6859940	51317400.0	0.1270	0.0558	0.2647	1	1	481420	15082.0	44824	0.0994	0.0258	0.3868
YAL012W	CYS3	28	12	495181671	1044207840	41642064	0.9094	0.8771	0.9330	27	10	1298105560	860058280	210367135	0.9074	0.8723	0.9347	16	7	105993670.0	75018303.0	9373466.0	0.8905	0.7746	0.9548	21	10	501250320	189023613	26948822	0.8978	0.7996	0.9555	20	12	158026500	112707320	15877607.8	0.9539	0.9136	0.9754	19	8	1113053520	1111448190	51594633	0.8648	0.7801	0.9204	33	14	1591754870	1549962920	176349740.0	0.9006	0.8713	0.9249	19	8	107025884	287216170.0	27175218	0.9075	0.8773	0.9309
YAL013W	DEP1	1	1	3357200	7143400	1759200	0.6903	0.3229	0.9212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.4654	0.0330	0.9996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	14167	20337.0	12286	0.5888	0.2606	0.8564
YAL014C	SYN8	1	1	1731900	1296400	1358700	0.3882	0.1209	0.7707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	3978100	4136000	4707600.0	0.4532	0.1550	0.7956	NA	NA	NA	NA	NA	NA	NA	NA
YAL016W	TPD3	10	11	70253471	119041630	41757538	0.7737	0.6712	0.8507	4	4	31859120	17159980	4546460	0.8258	0.6580	0.9190	9	6	15187730.0	11728140.0	1700295.0	0.8715	0.6996	0.9562	4	4	77857600	29692680	2933765	0.9287	0.7165	0.9876	3	5	19955420	10299900	1023440.0	0.6568	0.3263	0.9034	7	4	83149300	75630100	5547400	0.8935	0.7470	0.9599	12	11	274720500	233205300	58898890.0	0.8007	0.7138	0.8651	5	5	5619030	17609070.0	2368601	0.8894	0.8201	0.9345
YAL017W	PSK1	7	7	24787420	43558980	4886218	0.8543	0.7567	0.9166	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.9868	0.5952	1.0000	NA	NA	NA	NA	NA	NA	NA	NA	1	1	128400000	148630000	15394000.0	0.8654	0.3549	0.9897	3	2	41736400	24282400	3157320	0.8890	0.6348	0.9738	8	5	45905270	80107080	39050110.0	0.5732	0.4375	0.7086	NA	NA	NA	NA	NA	NA	NA	NA
YAL019W	FUN30	3	4	11833280	11110000	1407760	0.8135	0.5991	0.9254	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.9630	0.3021	1.0000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2389900	154020	533550	0.0625	0.0113	0.3338	6	4	20544550	4235790	14527980.0	0.1935	0.1107	0.3177	NA	NA	NA	NA	NA	NA	NA	NA
YAL021C	CCR4	12	7	42328610	55728130	15375630	0.6919	0.5679	0.7873	1	1	6975000	4924600	1019200	0.8335	0.4758	0.9665	1	1	1575500.0	1199400.0	224050.0	0.8066	0.2178	0.9890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2	35500300	20759000	25560500	0.3859	0.1555	0.7004	7	5	42965560	28807940	25488090.0	0.5184	0.3696	0.6732	2	2	1013510	843200.0	1620580	0.3266	0.1562	0.5712
YAL022C	FUN26	1	1	90684	610600	842630	0.4667	0.2030	0.7707	1	1	38557	163880	539990	0.3516	0.1189	0.6850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	5802300	3536900	1199400	0.5805	0.1484	0.9343	1	1	796550	4121500	2671600.0	0.6096	0.2745	0.8681	NA	NA	NA	NA	NA	NA	NA	NA
YAL023C	PMT2	12	5	62479430	7350040	116663430	0.0549	0.0373	0.0802	2	3	23485000	4820200	102537000	0.0525	0.0209	0.1274	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.0820	0.0000	0.8870	2	2	218670	202037	1991750.0	0.1446	0.0383	0.4417	2	3	9505700	885880	7318440	0.0551	0.0150	0.1977	16	10	196129280	21268270	196788863.0	0.0703	0.0514	0.0976	4	3	3491850	5869891.0	7668870	0.1442	0.0807	0.2497
YAL024C	LTE1	0	1	NA	NA	NA	0.3290	0.0011	0.8977	NA	NA	NA	NA	NA	NA	NA	NA	2	2	839108.0	1631847.0	3502500.0	0.2950	0.0840	0.6671	NA	NA	NA	NA	NA	NA	NA	NA	1	1	23826000	1462200	2725800.0	0.1031	0.0119	0.6202	NA	NA	NA	NA	NA	NA	NA	NA	1	1	125550000	4268700	3404400.0	0.3247	0.0694	0.8147	NA	NA	NA	NA	NA	NA	NA	NA
YAL025C	MAK16	2	3	1430930	2079830	1536490	0.3517	0.1570	0.6344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	12981000	4932000	12128000	0.3905	0.0603	0.8892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	16246500	5861100	8363300.0	0.3755	0.1601	0.6765	NA	NA	NA	NA	NA	NA	NA	NA
YAL026C	DRS2	5	4	10912390	5191430	7884030	0.2451	0.1399	0.4016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	353470	2992400	8359000	0.7421	0.2871	0.9581	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.1550	0.0001	0.8769	3	3	22022100	7201800	21603300.0	0.2139	0.1019	0.4043	NA	NA	NA	NA	NA	NA	NA	NA
YAL027W	SAW1	1	1	6215600	15451000	993540	0.8759	0.5564	0.9738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2733200	1449800	588400.0	0.6141	0.1318	0.9486	1	1	1671800	18834000	1686900	0.8280	0.4668	0.9718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
