# scer_aggregation_psup.txt 
# Generated:  Thu Sep 10 11:17:15 2015 
#
# Citation: 
#    Reversible, specific, active aggregates of endogenous proteins assemble upon heat stress. Edward W.J. Wallace, Jamie L. Kear-Scott, Evgeny V. Pilipenko, Michael H. Schwartz, Pawel R. Laskowski, Alexandra E. Rojek, Christopher D. Katanski, Joshua A. Riback, Michael F. Dion, Alexander M. Franks, Edoardo M. Airoldi, Tao Pan, Bogdan A. Budnik, D. Allan Drummond. Cell 162(6), 2015. http://drummondlab.org/endogenous-aggregates 
# 
# Columns:
#   orf: systematic orf name
#   gene: gene name from SGD
#   experiment: experiment id; temperature, time, and replicate
#   n.detections: number of peptide detection events
#   n.peptides: number of unique peptides detected
#   intensity.t: summed intensity for total (light) channel
#   intensity.s: summed intensity for supernatant (medium) channel
#   intensity.p: summed intensity for pellet (heavy) channel
#   psup: normalized proportion in supernatant
#   psup.lo: normalized 2.5% percentile of psup
#   psup.hi: normalized 97.5% percentile of psup
#   30C.repi:  sample grown at 30C, biological replicate i
#   xC.ymin: sample shocked for x min at y C
# 
orf	gene	n.detections_30C.rep1	n.peptides_30C.rep1	intensity.t_30C.rep1	intensity.s_30C.rep1	intensity.p_30C.rep1	psup_30C.rep1	psup.lo_30C.rep1	psup.hi_30C.rep1	n.detections_30C.rep2	n.peptides_30C.rep2	intensity.t_30C.rep2	intensity.s_30C.rep2	intensity.p_30C.rep2	psup_30C.rep2	psup.lo_30C.rep2	psup.hi_30C.rep2	n.detections_30C.rep3	n.peptides_30C.rep3	intensity.t_30C.rep3	intensity.s_30C.rep3	intensity.p_30C.rep3	psup_30C.rep3	psup.lo_30C.rep3	psup.hi_30C.rep3	n.detections_37C.8min	n.peptides_37C.8min	intensity.t_37C.8min	intensity.s_37C.8min	intensity.p_37C.8min	psup_37C.8min	psup.lo_37C.8min	psup.hi_37C.8min	n.detections_42C.8min	n.peptides_42C.8min	intensity.t_42C.8min	intensity.s_42C.8min	intensity.p_42C.8min	psup_42C.8min	psup.lo_42C.8min	psup.hi_42C.8min	n.detections_46C.2min	n.peptides_46C.2min	intensity.t_46C.2min	intensity.s_46C.2min	intensity.p_46C.2min	psup_46C.2min	psup.lo_46C.2min	psup.hi_46C.2min	n.detections_46C.4min	n.peptides_46C.4min	intensity.t_46C.4min	intensity.s_46C.4min	intensity.p_46C.4min	psup_46C.4min	psup.lo_46C.4min	psup.hi_46C.4min	n.detections_46C.8min	n.peptides_46C.8min	intensity.t_46C.8min	intensity.s_46C.8min	intensity.p_46C.8min	psup_46C.8min	psup.lo_46C.8min	psup.hi_46C.8min
YDR478W	SNM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	63259000	1598600	234760.0	0.8947	0.4777	0.9826	1	1	5482800	6546600.0	5993300	0.4954	0.1864	0.8154
YDR481C	PHO8	4	4	12532678	7862955	21500230	0.1905	0.0974	0.3345	1	1	7077500	1168800	2576700	0.2460	0.0605	0.6501	NA	NA	NA	NA	NA	NA	NA	NA	1	1	337940000	244510000	25841000	0.9273	0.4236	0.9972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	39801510	19321790	39368860.0	0.2967	0.1700	0.4687	1	1	66721	100570.0	244040	0.3211	0.1057	0.6523
YDR483W	KRE2	14	8	115050700	35733970	150903690	0.1635	0.1147	0.2267	2	2	33646500	9038700	20251800	0.1998	0.0737	0.4548	1	1	2621800.0	1048700.0	267740.0	0.6917	0.1133	0.9852	6	4	69849000	9463630	24665210	0.2423	0.1048	0.5000	3	3	23365600	2149074	9971760.0	0.0234	0.0068	0.0827	4	4	105639600	15937670	35240500	0.0936	0.0374	0.2243	11	8	175918600	47105740	144316290.0	0.1856	0.1246	0.2686	2	2	2056960	1160840.0	4711400	0.1937	0.0852	0.3973
YDR484W	VPS52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	3078700	2275900	3198300	0.3645	0.0754	0.8427	2	1	7652500	5709200	4918100.0	0.5053	0.2514	0.7685	NA	NA	NA	NA	NA	NA	NA	NA
YDR486C	VPS60	1	1	1085100	1582600	148590	0.8345	0.4878	0.9655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YDR487C	RIB3	14	8	112699960	306296230	10919010	0.9084	0.8638	0.9403	4	3	340952700	368628200	64359700	0.9243	0.8212	0.9692	5	3	1561705.0	1241771.0	431608.2	0.8800	0.6382	0.9721	7	4	50449180	26738010	2512406	0.9006	0.7036	0.9712	10	5	100365380	84705440	4816666.0	0.9491	0.8758	0.9799	5	5	114087160	136721990	3989795	0.8991	0.7533	0.9649	9	5	75196160	98800280	14016427.6	0.9459	0.9076	0.9695	2	2	5735170	15208600.0	8134300	0.6869	0.4443	0.8583
YDR488C	PAC11	1	1	465540	942120	9139200	0.1855	0.0541	0.4688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	4494700	1947700	1092900.0	0.5799	0.2174	0.8801	NA	NA	NA	NA	NA	NA	NA	NA
YDR490C	PKH1	1	1	1552600	2664900	4434100	0.3716	0.1210	0.7351	1	1	9901300	4786100	3027700	0.5851	0.1954	0.8952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	2991100	4051300	530240.0	0.8535	0.4887	0.9736	0	1	NA	NA	NA	0.8427	0.1612	0.9999	1	1	1207200	857490	3929200.0	0.2081	0.0630	0.5164	NA	NA	NA	NA	NA	NA	NA	NA
YDR493W	MZM1	2	2	3091040	7060800	302946	0.9209	0.7751	0.9754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2	30202900	28181200	15944900.0	0.6853	0.4483	0.8537	NA	NA	NA	NA	NA	NA	NA	NA
YDR495C	VPS3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	975300	130470	62411	0.4629	0.0647	0.9538	0	1	NA	NA	NA	0.9803	0.0864	0.9994	2	2	3737800	2050870	2375300	0.2566	0.0912	0.6038	2	2	5262200	1471530	2602210.0	0.2936	0.1159	0.5889	1	1	18351000	49158000.0	14625000	0.7222	0.3892	0.9146
YDR496C	PUF6	26	14	293895450	232852340	79954260	0.7145	0.6342	0.7803	5	5	30609000	52781900	20553370	0.7936	0.6419	0.8888	4	4	2818570.0	1884360.0	424023.0	0.8251	0.5201	0.9620	6	6	207829200	115608900	8949750	0.8348	0.5828	0.9513	1	1	14106000	3966400	1091500.0	0.6297	0.1257	0.9641	3	3	24526000	10412620	4680960	0.3873	0.1563	0.7176	23	13	221596700	146032700	143788390.0	0.4866	0.3986	0.5759	5	5	5835460	7945920.0	12985390	0.3790	0.2469	0.5369
YDR497C	ITR1	1	1	655570	1745300	1771100	0.4585	0.1771	0.7891	1	1	428700	932320	2010300	0.3875	0.1356	0.7251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1706530	496430	3941100.0	0.1089	0.0260	0.3767	3	3	26189300	3225200	8204830	0.0897	0.0297	0.2444	2	2	4431000	1046229	4793200.0	0.0709	0.0260	0.1788	1	1	6884	2567.3	32239	0.0997	0.0278	0.2929
YDR500C	RPL37B	9	2	52412590	84769630	13106031	0.8218	0.7127	0.8921	2	2	237456600	196806000	26397600	0.8636	0.6431	0.9575	2	1	5595790.0	8015797.0	659980.7	0.8287	0.3478	0.9837	2	2	97906100	21301300	2171110	0.9056	0.4998	0.9900	9	2	233619350	134910870	11292032.0	0.9084	0.7803	0.9633	6	1	82985950	38021935	5485245	0.8456	0.6208	0.9443	6	2	35830760	26532580	4528459.0	0.8081	0.6874	0.8880	6	2	6086151	12213360.0	2483135	0.8635	0.7745	0.9197
YDR502C	SAM2	56	18	1544088459	2875951110	194917603	0.8937	0.8696	0.9142	30	17	3254185640	3010053800	553464520	0.8913	0.8542	0.9206	27	10	241293370.0	173169792.0	8807560.0	0.9412	0.8870	0.9704	33	15	1948740330	725984189	185264128	0.7769	0.6722	0.8604	36	15	1271262210	462102670	240143127.0	0.5161	0.4088	0.6317	39	17	2955288980	2199042430	552834810	0.7430	0.6520	0.8139	55	17	3918846100	1914499900	1836219190.0	0.4778	0.4230	0.5343	32	16	277438105	364603740.0	556274703	0.4104	0.3483	0.4746
YDR505C	PSP1	4	3	10543720	23324000	4687230	0.7674	0.5895	0.8852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	14822700	5871000	9195900.0	0.2631	0.1085	0.5197	NA	NA	NA	NA	NA	NA	NA	NA
YDR507C	GIN4	5	5	14871400	12667920	8871000	0.4484	0.2800	0.6426	2	2	3594000	4941580	1057500	0.7432	0.4642	0.9097	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.4159	0.0293	0.9998	NA	NA	NA	NA	NA	NA	NA	NA	4	3	20673200	18085800	28638700	0.3982	0.1976	0.6575	3	3	25518600	12295300	11857600.0	0.4420	0.2237	0.6919	1	1	25431	43733.0	91996	0.3474	0.1272	0.6631
YDR508C	GNP1	5	4	13320420	2760520	15744090	0.0877	0.0479	0.1553	1	1	157670	136260	594740	0.2328	0.0690	0.5534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3	20638800	2683016	13996380	0.0509	0.0205	0.1227	7	6	33432060	7385201	35317720.0	0.1471	0.0890	0.2369	2	2	3404822	5350153.0	3726710	0.3844	0.1880	0.6343
YDR510W	SMT3	7	4	322683879	542945150	20332801	0.8944	0.8265	0.9399	4	2	561776100	481479400	83066900	0.8527	0.6833	0.9362	5	3	39920570.0	41753870.0	1442344.0	0.9386	0.7536	0.9889	5	2	70728680	47029363	10782427	0.7913	0.5007	0.9429	6	2	267394260	200319300	9623960.0	0.9123	0.7757	0.9699	9	2	202644800	335348600	80657900	0.7291	0.5716	0.8518	8	4	728574600	793031900	153704830.0	0.8350	0.7375	0.9009	7	2	102905350	276725490.0	65889040	0.6552	0.5240	0.7645
YDR511W	SDH7	0	1	NA	NA	NA	0.8496	0.2886	0.9995	1	1	13503000	17003000	10761000	0.6106	0.2605	0.8885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.9002	0.1911	0.9999	1	1	8234400	2510500	3150200	0.2820	0.0522	0.7979	1	1	1010500	1054700	389950.0	0.6952	0.3281	0.9171	NA	NA	NA	NA	NA	NA	NA	NA
YDR513W	GRX2	16	7	513462280	849831960	171760010	0.7975	0.7152	0.8604	8	5	642431100	472129080	150080950	0.7755	0.6397	0.8680	6	3	293952200.0	187142580.0	16024569.0	0.8599	0.5753	0.9694	9	5	187039000	103032300	17155530	0.9064	0.7636	0.9684	5	4	635291500	771730400	162884960.0	0.8422	0.6174	0.9500	10	6	570040200	415935900	44748680	0.8517	0.7057	0.9318	15	8	605499280	516584200	194911730.0	0.7081	0.6070	0.7905	8	6	70840460	150484800.0	56192570	0.7437	0.6277	0.8320
YDR515W	SLF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	801440.0	400300.0	113300.0	0.6939	0.1361	0.9814	NA	NA	NA	NA	NA	NA	NA	NA	1	1	6980400	886030	2125800.0	0.1449	0.0180	0.6574	3	1	10130500	5986000	1053920	0.7749	0.4479	0.9406	2	2	9786300	5597200	13507300.0	0.2972	0.1261	0.5693	NA	NA	NA	NA	NA	NA	NA	NA
YDR516C	EMI2	14	9	87806766	157935156	39983765	0.7843	0.6998	0.8488	4	3	46668570	29189570	4752875	0.8816	0.7471	0.9475	10	5	8508199.0	6830094.0	1373469.0	0.8021	0.6022	0.9189	11	8	108881400	42781483	14864668	0.8110	0.6107	0.9287	9	9	89463310	39593213	13590769.5	0.7221	0.5044	0.8732	3	5	93773000	80183000	10503500	0.7828	0.4913	0.9374	11	8	223755600	206406400	57828640.0	0.8521	0.7760	0.9067	7	4	22709357	55161588.0	8838652	0.8495	0.7684	0.9069
YDR517W	GRH1	5	3	13148200	16258000	4822500	0.6601	0.4752	0.8151	0	1	NA	NA	NA	0.6249	0.0867	0.9991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.7466	0.0852	0.9999	2	1	7079100	7149000	2671000	0.5969	0.2674	0.8787	2	3	15305000	8302500	2567820.0	0.7336	0.4342	0.9080	1	1	26887	73726.0	68839	0.4998	0.2232	0.7859
YDR518W	EUG1	7	5	32900890	50716980	31551400	0.5324	0.3799	0.6835	2	2	7477500	2624360	1106180	0.6930	0.3811	0.8941	3	2	37025000.0	17545020.0	1670940.0	0.7638	0.3474	0.9663	NA	NA	NA	NA	NA	NA	NA	NA	2	2	3144080	654825	657961.0	0.2570	0.0612	0.7009	NA	NA	NA	NA	NA	NA	NA	NA	8	6	225299000	108898000	111923800.0	0.3645	0.2434	0.5050	3	3	3065060	2701700.0	7382300	0.2615	0.1364	0.4503
YDR519W	FPR2	4	5	50252600	116144500	7884500	0.8932	0.7865	0.9507	3	2	66251600	54942900	3633810	0.9546	0.8828	0.9828	3	2	23142680.0	15316710.0	826420.0	0.8764	0.5557	0.9814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	6089800	5615600	85959	0.9812	0.8905	0.9969	5	4	228748290	149575500	35092480.0	0.7709	0.6169	0.8731	4	2	9926310	27224800.0	5293680	0.8171	0.6866	0.8981
YDR523C	SPS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1688500.0	2614500.0	160820.0	0.9352	0.4864	0.9967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YDR525W-A	SNA2	0	1	NA	NA	NA	0.1381	0.0004	0.6677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.0392	0.0000	0.3802
YDR527W	RBA50	1	1	149230	549860	82041	0.7715	0.4090	0.9450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	821060	313580	5184	0.9935	0.8066	0.9998	2	2	2480670	320313	1574022.0	0.1316	0.0314	0.4305	1	1	3056800	1386100	650890	0.4983	0.1011	0.9054	3	2	4309690	1695070	4222650.0	0.2991	0.1496	0.5234	1	1	9646	12228.0	43603	0.2598	0.0854	0.5768
YDR528W	HLR1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2684100.0	1757100.0	206560.0	0.8491	0.2534	0.9927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YDR529C	QCR7	4	3	3534720	1617424	3519690	0.1774	0.0919	0.3266	2	1	2743660	247457	2908200	0.0387	0.0127	0.1114	3	3	16236470.0	563110.0	1614094.0	0.0925	0.0235	0.3354	2	2	18152100	7336700	3907690	0.2505	0.0636	0.7412	0	2	NA	NA	NA	0.0099	0.0007	0.1760	4	2	34857600	3749580	28962800	0.0555	0.0212	0.1394	7	4	51017300	10213020	19718670.0	0.3226	0.2064	0.4875	2	2	390572	177292.0	1914490	0.0999	0.0408	0.2289
YDR531W	CAB1	4	3	8324870	17993820	812865	0.9450	0.8808	0.9765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2294700	1378400	2028800	0.5492	0.1135	0.9428	2	1	6662700	2542610	683010.0	0.5770	0.1683	0.9099	NA	NA	NA	NA	NA	NA	NA	NA	4	2	9869800	7756300	762412.0	0.9287	0.8421	0.9684	1	1	106180	362780.0	24316	0.9111	0.7091	0.9756
YDR532C	KRE28	1	1	453630	2820600	401820	0.7720	0.4285	0.9438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2962600	779340	556540.0	0.4003	0.0612	0.8919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YDR533C	HSP31	4	6	20725970	48691500	2950520	0.8691	0.7551	0.9387	4	3	118908400	92311300	19123831	0.9356	0.8568	0.9730	11	6	29158155.0	29552210.0	679487.3	0.9767	0.9318	0.9915	6	6	34816981	26090585	7394120	0.8695	0.6733	0.9599	6	4	22833710	9040187	2168214.6	0.8675	0.6174	0.9597	7	5	188635300	168364000	29317680	0.7586	0.5534	0.8928	9	6	253272300	241426500	19020810.0	0.9140	0.8536	0.9506	6	5	2195302	9642760.0	1182699	0.8565	0.7739	0.9115
YDR539W	FDC1	4	2	9873320	18608000	810840	0.9169	0.8195	0.9640	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1452300.0	1153310.0	161898.0	0.8426	0.4137	0.9817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2	36334600	28536800	6525900.0	0.8069	0.6064	0.9188	2	2	894170	5631600.0	496894	0.9769	0.9420	0.9911
YEL002C	WBP1	16	10	176247893	27189345	147215500	0.0913	0.0643	0.1266	8	5	113686200	14964710	99025400	0.0589	0.0347	0.0983	5	4	36722600.0	2193920.0	2303376.0	0.2252	0.0805	0.5377	10	5	183891200	7894267	26034340	0.0365	0.0174	0.0765	5	4	82295600	3669280	9828060.0	0.0709	0.0257	0.1836	7	5	170585300	28821890	82110000	0.0499	0.0256	0.0965	19	9	366942300	31973364	269677800.0	0.0594	0.0435	0.0816	8	6	23154820	11824376.0	66853590	0.1041	0.0671	0.1587
YEL003W	GIM4	4	4	7453020	20812300	338435	0.9615	0.9147	0.9826	NA	NA	NA	NA	NA	NA	NA	NA	2	1	109065.0	424970.0	48835.5	0.9433	0.7102	0.9930	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	3	31300500	35950000	2994080.0	0.9406	0.8818	0.9710	NA	NA	NA	NA	NA	NA	NA	NA
YEL007W	MIT1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	3973300	1506400	542680	0.5350	0.1122	0.9306	1	1	381810	281950	254320.0	0.4857	0.1805	0.8164	NA	NA	NA	NA	NA	NA	NA	NA
YEL011W	GLC3	2	3	7912300	10718300	999120	0.8623	0.6519	0.9556	0	1	NA	NA	NA	0.9512	0.4470	1.0000	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.9282	0.1732	1.0000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.0482	0.0066	0.4546	NA	NA	NA	NA	NA	NA	NA	NA
YEL013W	VAC8	10	7	79107540	21509360	149457660	0.1376	0.0906	0.2042	1	1	3897100	358220	1587500	0.1186	0.0271	0.4453	5	4	89534800.0	11748090.0	157130733.0	0.1161	0.0404	0.3191	5	4	112469000	16126940	24094400	0.2745	0.1101	0.5655	5	4	78781280	31185540	45579780.0	0.1787	0.0725	0.3858	3	2	30204700	4007960	10507300	0.1292	0.0468	0.3382	12	8	195621160	47704100	214991850.0	0.1984	0.1369	0.2769	2	3	6106880	2934290.0	24537800	0.1099	0.0481	0.2367
YEL015W	EDC3	3	2	5457400	7076500	3171280	0.5425	0.3161	0.7570	NA	NA	NA	NA	NA	NA	NA	NA	1	1	292060.0	352900.0	180610.0	0.7195	0.1807	0.9780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1407700	738380	405550	0.4783	0.0946	0.9025	2	2	9544700	7568200	10257900.0	0.4397	0.2147	0.7065	1	1	20452	21485.0	62089	0.2802	0.0969	0.5967
YEL017W	GTT3	3	1	6759840	1630900	6058600	0.1497	0.0696	0.3012	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1130400.0	101970.0	159560.0	0.1369	0.0116	0.7438	1	1	2603800	198070	1008500	0.0798	0.0087	0.5378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	20003200	4859600	27216300.0	0.1453	0.0566	0.3335	1	1	1754700	264710.0	2471900	0.0865	0.0244	0.2722
YEL018W	EAF5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	214900	77886	134480.0	0.3172	0.0914	0.6992	NA	NA	NA	NA	NA	NA	NA	NA
YEL020C	YEL020C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	61486	158060.0	106220	0.5652	0.2481	0.8340
YEL020W-A	TIM9	2	3	2053640	2688150	867740	0.5431	0.2623	0.8323	NA	NA	NA	NA	NA	NA	NA	NA	1	1	190630.0	14781.0	25974.0	0.1119	0.0099	0.6601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.4568	0.0927	0.9990	1	1	785160	1935700.0	979420	0.6282	0.3029	0.8594
YEL022W	GEA2	13	9	66583310	109918780	14200700	0.8501	0.7754	0.9018	1	1	316950	563950	433590	0.5792	0.2357	0.8702	1	1	85882.0	447510.0	109050.0	0.8741	0.4168	0.9906	1	1	1049400	362890	70086	0.8216	0.2502	0.9908	3	2	10003700	10427090	2317164.0	0.7986	0.4683	0.9499	4	3	32657200	32211800	4440800	0.8289	0.5788	0.9441	15	9	77094950	70309590	22168025.0	0.8276	0.7541	0.8835	3	3	302438	1016588.0	354459	0.7004	0.5125	0.8419
YEL024W	RIP1	2	1	17377800	4268710	22092000	0.1275	0.0478	0.2960	1	1	18300000	1216200	11161000	0.0590	0.0140	0.2464	1	1	7055000.0	624650.0	641990.0	0.1604	0.0160	0.7814	1	1	19926000	623840	5834500	0.0236	0.0025	0.2104	1	1	16057000	289670	3905800.0	0.0121	0.0015	0.1035	3	2	21199300	1824090	7402840	0.0564	0.0206	0.1536	1	1	38079000	2414100	34880000.0	0.0404	0.0102	0.1534	2	2	3184172	337191.0	4311630	0.0860	0.0348	0.2002
YEL025C	YEL025C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2993700.0	392760.0	5610500.0	0.0590	0.0044	0.4703	NA	NA	NA	NA	NA	NA	NA	NA	1	1	31240000	7245100	1388000.0	0.6959	0.1519	0.9772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	3038400	6745700.0	1002600	0.8402	0.5534	0.9557
YEL026W	SNU13	9	4	195680940	144770160	102005910	0.4362	0.3011	0.5894	8	4	648450000	242996200	204198100	0.5292	0.3609	0.6940	9	2	40389040.0	8468294.0	1523044.0	0.5403	0.2879	0.7942	11	4	290198400	103048020	51047630	0.5754	0.3670	0.7776	4	4	94832960	10585013	6426705.0	0.3310	0.1138	0.7048	4	2	30557900	14365030	10641910	0.3625	0.1581	0.6565	16	5	619046030	181468780	296270320.0	0.2703	0.1995	0.3566	4	3	22844400	22781700.0	50306300	0.2710	0.1564	0.4230
YEL027W	VMA3	4	2	40151200	9327940	36928100	0.1304	0.0681	0.2441	NA	NA	NA	NA	NA	NA	NA	NA	1	1	3132400.0	780500.0	475160.0	0.4161	0.0532	0.9389	1	1	2734000	507570	246850	0.5344	0.0828	0.9605	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	29708000	4430700	15336000.0	0.1675	0.0425	0.5009	1	1	2505500	1969700.0	9520700	0.2025	0.0640	0.5067
YEL030W	ECM10	7	1	75229960	167640100	5099430	0.9359	0.8832	0.9665	NA	NA	NA	NA	NA	NA	NA	NA	6	1	33621590.0	8241630.0	1189204.0	0.7885	0.4637	0.9559	NA	NA	NA	NA	NA	NA	NA	NA	1	1	3382500	210430	25821.0	0.6825	0.0857	0.9870	NA	NA	NA	NA	NA	NA	NA	NA	5	1	211905000	118016500	9532291.0	0.9793	0.9560	0.9902	2	1	456005	6465660.0	946136	0.8280	0.6556	0.9242
YEL031W	SPF1	28	22	268272680	66155496	401194660	0.0774	0.0590	0.0996	5	6	7369630	7902310	137794200	0.1060	0.0607	0.1818	1	1	541790.0	311850.0	902830.0	0.3485	0.0410	0.8879	2	2	4333040	849791	6527390	0.1286	0.0286	0.4364	2	2	1321020	182224	4557780.0	0.0243	0.0053	0.1082	12	12	193524000	20567840	174272750	0.0514	0.0309	0.0880	33	21	677375200	57934820	727358080.0	0.0617	0.0480	0.0796	14	13	23573505	5749273.4	60526060	0.0856	0.0634	0.1173
YEL032W	MCM3	13	12	98387100	123113500	11343670	0.8702	0.8029	0.9169	2	1	5258800	11373300	1647480	0.8788	0.6853	0.9598	1	1	678460.0	1724900.0	66352.0	0.9622	0.6169	0.9983	1	1	179240	222140	19827	0.9420	0.5763	0.9969	1	1	1531600	1104700	527930.0	0.6044	0.1376	0.9463	NA	NA	NA	NA	NA	NA	NA	NA	11	10	65828180	25756950	27458410.0	0.4467	0.3215	0.5804	1	1	439730	404170.0	584630	0.3913	0.1345	0.7350
